nu,[0]Crotonaldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
570.801416,0.959629506250354
570.921418,0.9656015538436262
571.041421,0.9597216351050684
571.161423,0.9631568538710304
571.281426,0.9644338825470755
571.401428,0.9662999362018556
571.52143,0.9728766283047648
571.641433,0.9557757161431294
571.761435,0.9627389344915156
571.881438,0.9656720453299649
572.00144,0.9617199336160851
572.121442,0.9707221499415332
572.241445,0.9639006980491284
572.361447,0.9639344351639562
572.48145,0.9686567122342064
572.601452,0.9648535025467165
572.721454,0.9673711898961189
572.841457,0.9747024831868699
572.961459,0.9686053747889122
573.081462,0.9687187082476406
573.201464,0.9690151815304632
573.321466,0.9621374106532388
573.441469,0.9687380828155505
573.561471,0.9656845991481537
573.681474,0.9722901605356998
573.801476,0.9685375747857048
573.921478,0.9671903083965557
574.041481,0.9707658334211514
574.161483,0.9693049603895214
574.281486,0.9692264498674489
574.401488,0.9703329683955216
574.52149,0.9698663504683314
574.641493,0.9699759515582792
574.761495,0.9680776286835288
574.881498,0.9731957841775506
575.0015,0.9748038575164951
575.121502,0.9723621126697757
575.241505,0.9749344899855822
575.361507,0.9710367148748816
575.48151,0.9739006330497981
575.601512,0.97636283937556
575.721514,0.9709367032439369
575.841517,0.9732025965718832
575.961519,0.9740428329225616
576.081522,0.9750982927389459
576.201524,0.9799467946155137
576.321526,0.9730994425639056
576.441529,0.975577183558756
576.561531,0.9731957841775506
576.681534,0.9751411980077354
576.801536,0.9790789462690732
576.921538,0.9752513951891337
577.041541,0.9815925257191195
577.161543,0.9793825077920217
577.281546,0.976291567489741
577.401548,0.9748555234900796
577.52155,0.9780201557581725
577.641553,0.9851454339784104
577.761555,0.9792121100606984
577.881558,0.9765249290599679
578.00156,0.9840869716623105
578.121562,0.9773670564535795
578.241565,0.9805319975175845
578.361567,0.977761014754596
578.48157,0.9838990289998187
578.601572,0.9807349886499279
578.721574,0.9790946116575363
578.841577,0.9861586842059249
578.961579,0.9839029646038059
579.081582,0.9817073787634008
579.201584,0.9795715468577086
579.321586,0.9779360496413921
579.441589,0.979556853394707
579.561591,0.9786619474650141
579.681594,0.9879462357223641
579.801596,0.9827072657310979
579.921598,0.9823437313007943
580.041601,0.9799448347238843
580.161603,0.9884897556062783
580.281606,0.9895964947478667
580.401608,0.9847435766258216
580.52161,0.9880035382657937
580.641613,0.9828841689597424
580.761615,0.9799801133729462
580.881618,0.9866459669448495
581.00162,0.9852262192161461
581.121622,0.9870495876801438
581.241625,0.9849228162670801
581.361627,0.9841617651142721
581.48163,0.984927740893473
581.601632,0.9897489043432955
581.721634,0.9857386700758147
581.841637,0.9847041876705409
581.961639,0.9868087769608523
582.081642,0.9850991332310894
582.201644,0.9875955770542789
582.321646,0.9877792869160985
582.441649,0.98773681331995
582.561651,0.9884759168465713
582.681654,0.9868275265057348
582.801656,0.9849474396452778
