nu,[0]Methyl2-methylbutyrate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
553.847477,0.8984448093186562
553.967079,0.8934454484712572
554.086682,0.9008018210561581
554.206284,0.898022639475961
554.325887,0.898957068840062
554.445489,0.8982292084375604
554.565091,0.9043037214153031
554.684694,0.8994786151738053
554.804296,0.9080335061639975
554.923898,0.8993437035001578
555.043501,0.9040324709884769
555.163103,0.8950729998099347
555.282706,0.915477034849305
555.402308,0.9050193086363778
555.52191,0.9167770188822945
555.641513,0.908917452735764
555.761115,0.9122812028275479
555.880718,0.9130715805333475
556.00032,0.8985706003971309
556.119922,0.9196326335902404
556.239525,0.9058332868232154
556.359127,0.9084285866629573
556.47873,0.9104912408632113
556.598332,0.9146095738617418
556.717934,0.9108382041182831
556.837537,0.9135684266030356
556.957139,0.9081542826517757
557.076742,0.9121954524248141
557.196344,0.9196841344597323
557.315946,0.9112345049262511
557.435549,0.9126507515432567
557.555151,0.9135309710653887
557.674753,0.9185288177713765
557.794356,0.906349758977285
557.913958,0.918998305941269
558.033561,0.9154514018511929
558.153163,0.91560154819276
558.272765,0.9195967686169019
558.392368,0.9210039075597
558.51197,0.9263797789128716
558.631573,0.9174639420900649
558.751175,0.9231818899739991
558.870777,0.9243097835005294
558.99038,0.927582073005298
559.109982,0.9218267313853089
559.229585,0.9307449425316716
559.349187,0.9252197519585518
559.468789,0.9229760433652847
559.588392,0.9221734034065655
559.707994,0.926161179080843
559.827597,0.9301085306686495
559.947199,0.9268245479427775
560.066801,0.9282084022669216
560.186404,0.9273094039601482
560.306006,0.9342436570400384
560.425609,0.9206714851549251
560.545211,0.9308994590166453
560.664813,0.9294232932225622
560.784416,0.9338812408144013
560.904018,0.9307170206022266
561.02362,0.9313827212315721
561.143223,0.9343361517404976
561.262825,0.9297979262932243
561.382428,0.9354673827408392
561.50203,0.9310335181907725
561.621632,0.9421271827351607
561.741235,0.933928869972216
561.860837,0.9433716117588357
561.98044,0.9329301005182945
562.100042,0.9331120396263821
562.219644,0.9336655391622731
562.339247,0.9408194764905772
562.458849,0.9372886373962682
562.578452,0.9304164475497333
562.698054,0.9419425439025413
562.817656,0.9366870912080475
562.937259,0.9397522521491429
563.056861,0.9379421553010662
563.176464,0.9345286448138619
563.296066,0.9426766030231475
563.415668,0.9429688780703763
563.535271,0.934659487982944
563.654873,0.9412081151827336
563.774475,0.9462835680859878
563.894078,0.9365690760696651
564.01368,0.9402438711241728
564.133283,0.9425333270687363
564.252885,0.9483838060099352
564.372487,0.9423514356896947
564.49209,0.9524039661537027
564.611692,0.9454445867043453
564.731295,0.9455306260764674
564.850897,0.9451468185604783
564.970499,0.9483904447198127
565.090102,0.9470304804393836
565.209704,0.946598732986204
565.329307,0.9473231580742052
565.448909,0.9446856994352384
565.568511,0.9498416428680511
565.688114,0.9463933433467278
565.807716,0.9449219003839856
565.927319,0.9522639730604227
566.046921,0.9538136137971163
566.166523,0.9478879309620201
566.286126,0.9493279175144974
566.405728,0.9500411305585278
566.525331,0.950788156429855
566.644933,0.9486958756147476
566.764535,0.953524652052051
566.884138,0.9576585348384118
567.00374,0.9495595817882629
567.123342,0.9520954372530499
567.242945,0.952409680594643
567.362547,0.9528193048201955
567.48215,0.9503984131885429
567.601752,0.9529774859534665
567.721354,0.9569271631373599
567.840957,0.9548414244358558
567.960559,0.9540091656313229
568.080162,0.9521916037485387
568.199764,0.9545292423346207
568.319366,0.9521687514242777
568.438969,0.9577131229306434
568.558571,0.9542438807548447
568.678174,0.955914313670048
568.797776,0.9531013810796491
568.917378,0.9545235151763481
569.036981,0.9582131796842711
569.156583,0.9554259662391577
569.276186,0.9568525257295319
569.395788,0.9580972429038459
569.51539,0.9582869649398027
569.634993,0.9545368785991043
569.754595,0.9595383457774512
569.874197,0.9579995219689221
569.9938,0.9600527961911822
570.113402,0.9568984557530786
570.233005,0.9651005366623862
570.352607,0.9618161104182067
570.472209,0.9636106075998184
570.591812,0.9554985813719319
570.711414,0.961411271060385
570.831017,0.9636848084733006
570.950619,0.9593435792627285
571.070221,0.9635325583016421
571.189824,0.9643731251263539
571.309426,0.9625877963434555
571.429029,0.9579276746990808
571.548631,0.9652810273380943
571.668233,0.964426167106877
571.787836,0.9628823932801692
571.907438,0.9622538363235388
572.027041,0.9641629146988455
572.146643,0.9622191958089641
572.266245,0.9599827148950587
572.385848,0.9586483072343277
572.50545,0.9620315813587847
572.625053,0.9669717480851036
572.744655,0.962600310066147
572.864257,0.9665019139944659
572.98386,0.9671390486686054
573.103462,0.9657560624526004
573.223064,0.9607221862454618
573.342667,0.9660265120112583
573.462269,0.9656527320821914
573.581872,0.9625377430794418
573.701474,0.9683990838148508
573.821076,0.9654084528436012
573.940679,0.9674292339088157
574.060281,0.9625261926958273
574.179884,0.9649499927213996
574.299486,0.9621710860519277
574.419088,0.9709755414888264
574.538691,0.9685501658560188
574.658293,0.9684416943119628
574.777896,0.9673547447256751
574.897498,0.967606289658728
575.0171,0.9659627563654251
575.136703,0.9695599211199702
575.256305,0.9719965732411309
575.375908,0.9672792939982031
575.49551,0.9699827414137046
575.615112,0.9686838350018658
575.734715,0.9689744837474984
575.854317,0.9673402345133311
575.973919,0.9692574656100938
576.093522,0.9722716871981469
576.213124,0.9741645958867036
576.332727,0.9697965226049309
576.452329,0.969871199812207
576.571931,0.9705765525391201
576.691534,0.9669620784159711
576.811136,0.9695541037778956
576.930739,0.9744140139474002
577.050341,0.9741275783353979
577.169943,0.9713270982627823
577.289546,0.9702805718299483
577.409148,0.9682528665928729
577.528751,0.9717953907735738
577.648353,0.9699352134238206
577.767955,0.9729817046546425
577.887558,0.9755401123301385
578.00716,0.9729690559746986
578.126763,0.973440086978098
578.246365,0.9746508253242064
578.365967,0.9719547782870795
578.48557,0.9690151815304632
578.605172,0.9742103826986919
578.724774,0.9737389789623724
578.844377,0.9767085330048613
578.963979,0.9685937515941541
579.083582,0.9749013427764285
579.203184,0.972395173543638
579.322786,0.9720140693369137
579.442389,0.9748321272382721
