nu,[0]Acrylonitrile-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
608.170576,0.9996310180905748
608.289778,0.9993312537105424
608.40898,0.9994696306955488
608.528182,0.99821828913467
608.647384,0.9988995059881667
608.766586,0.9991742511184061
608.885788,0.9991331459352545
609.00499,0.999430372299495
609.124192,0.9990548769104397
609.243394,0.9995319695604326
609.362596,0.9998663589307634
609.481798,0.9994311218725553
609.601,0.9995623957766707
609.720202,0.998760668606256
609.839404,0.9989742264657256
609.958606,0.9984836508209278
610.077808,0.9995879049345063
610.19701,0.9987568733229263
610.316212,0.9990696230692492
610.435414,0.9989316710701146
610.554616,0.9983212107457977
610.673818,0.9995462429788698
610.79302,0.9987978231941992
610.912222,0.9991801062966733
611.031424,0.9987936282521511
611.150626,0.9987840398793442
611.269828,0.9996310380831953
611.38903,0.9998021595729989
611.508232,0.9987330033189016
611.627434,0.9988927134946205
611.746636,0.9986123636588828
611.865838,0.9985195968793825
611.98504,0.9986499121896644
612.104242,0.9992409082560223
612.223444,0.9990567950976448
612.342646,0.9982673028559436
612.461848,0.9985194970274278
612.58105,0.9991647090498713
612.700252,0.9992418175656625
612.819454,0.9983919942288844
612.938656,0.9980185656380164
613.057858,0.9985264866883709
613.17706,0.9987163246170137
613.296262,0.9993795725447577
613.415464,0.9981374367278167
613.534666,0.9986003803824187
613.653868,0.9988404727718115
613.77307,0.9981646862517938
613.892272,0.9981587970975179
614.011474,0.9989317709632867
614.130676,0.9987355001545309
614.249878,0.9987977233144218
614.36908,0.9986666896491194
614.488282,0.998884322831068
614.607484,0.99855204929363
614.726686,0.9979001078648831
614.845888,0.9985555442319186
614.96509,0.9984553941334436
615.084292,0.9980952164072093
615.203494,0.9978677764251604
615.322696,0.9986110654636539
615.441898,0.9978176847200962
615.5611,0.9978107000207497
615.680302,0.9980852355049498
615.799504,0.9984211477007545
615.918706,0.9978470209912681
616.037908,0.9995243031796267
616.15711,0.9986254455665331
616.276312,0.9984546952149124
616.395514,0.9984588887334386
616.514716,0.9984555938245424
616.633918,0.9978603922309365
616.75312,0.9974737962367584
616.872322,0.9972253564585748
616.991524,0.9968565510139928
617.110726,0.9983518596774262
617.229928,0.9972634511947963
617.34913,0.997083162261431
617.468332,0.9971911522154544
617.587534,0.9980068888891076
617.706736,0.9980139747631736
617.825938,0.998273492132408
617.94514,0.9977126200496471
618.064342,0.9977120214222547
618.183544,0.9966664685946492
618.302746,0.997709128061588
618.421948,0.9972448025426244
618.54115,0.9979400246675284
618.660352,0.9973097252924825
618.779554,0.9968137867852537
618.898756,0.9973572981009814
619.017958,0.9966952726718086
619.13716,0.9973469256390181
619.256362,0.9967963426966211
619.375564,0.9972932698177732
619.494766,0.9972885825504202
619.613968,0.9962994639223248
619.73317,0.9976360984263312
619.852372,0.9962310205002118
619.971574,0.9970444761852499
620.090776,0.9971757955899566
620.209978,0.9965124955199777
620.32918,0.9964978468939613
620.448382,0.9964516104665587
620.567584,0.9970761827037237
620.686786,0.9973809357490514
620.805988,0.996076915481671
620.92519,0.9960658590892721
621.044392,0.9963961096575676
621.163594,0.996142559113335
621.282796,0.9957674824569405
621.401998,0.996465560886758
621.5212,0.9958472466267976
621.640402,0.995778336381653
621.759604,0.9960970364385846
621.878806,0.9958188653847033
621.998008,0.9960184474827847
622.11721,0.9953241659087573
622.236412,0.9954395306648446
622.355614,0.9961776239485534
622.474816,0.9964430410195574
622.594018,0.9952036394502901
622.71322,0.9946474760779825
622.832422,0.9953673639149477
622.951624,0.9945046549552198
623.070826,0.9954767607994907
623.190028,0.9953557181849175
623.30923,0.9958824006550685
623.428432,0.9947217790196259
623.547634,0.9947966843897378
623.666836,0.9945104230989461
623.786038,0.9954627246761183
623.90524,0.9950590468663836
624.024442,0.9937509073076746
624.143644,0.9948955720948037
624.262846,0.99445632320346
624.382048,0.9934342493556405
624.50125,0.9939266180004541
624.620452,0.9939210520269781
624.739654,0.9938813953681578
624.858856,0.9939004780741423
