nu,[0]Dibromomethane-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
649.291786,0.08005831278672054
649.422988,0.07918249716311948
649.554191,0.07878757281094306
649.685394,0.07877181687202728
649.816596,0.07717343402662327
649.947799,0.07619952880271957
650.079002,0.07611575540485255
650.210204,0.07555457773308062
650.341407,0.07424387472414223
650.472609,0.07589533947175628
650.603812,0.07545642059798922
650.735015,0.07352719067634124
650.866217,0.07629102312289561
650.99742,0.07718887025700018
651.128623,0.0765891390612929
651.259825,0.07876394008418602
651.391028,0.07942040133243472
651.52223,0.07888217464806624
651.653433,0.08210141726543299
651.784636,0.08568307192662603
651.915838,0.08725678115024513
652.047041,0.09130954056154941
652.178244,0.09269877696230551
652.309446,0.09454304930613093
652.440649,0.0971499128719056
652.571851,0.09948981518564427
652.703054,0.10247873144827359
652.834257,0.10552577954914433
652.965459,0.10788386009211837
653.096662,0.11148112331920754
653.227865,0.11526747289078133
653.359067,0.11685750411392803
653.49027,0.12365003524207413
653.621472,0.12876065314339152
653.752675,0.13245663104530903
653.883878,0.13616335150487413
654.01508,0.14432320721105654
654.146283,0.14883752563054062
654.277486,0.14935936966459143
654.408688,0.15427786256447115
654.539891,0.15151055295347968
654.671093,0.1543241528664386
654.802296,0.15251382977459008
654.933499,0.1527733237926274
655.064701,0.15323233193195826
655.195904,0.1556881984094232
655.327107,0.160718643283902
655.458309,0.1606704349225326
655.589512,0.16118540382508875
655.720714,0.16079902269872312
655.851917,0.16249630758895714
655.98312,0.15954966913478855
656.114322,0.15271222668334686
656.245525,0.14520626937642148
656.376728,0.13673644022506684
656.50793,0.12761976780097314
656.639133,0.11706803704412637
656.770335,0.10694934155940249
656.901538,0.09910256054381698
657.032741,0.09363977866895831
657.163943,0.0881866224831038
657.295146,0.08291825798639385
657.426349,0.07874031444618368
657.557551,0.07674247061986356
657.688754,0.07312390119033295
657.819956,0.07095566738427246
657.951159,0.06861116516407889
658.082362,0.06734005826590692
658.213564,0.06600663577264156
658.344767,0.06598023839815936
658.47597,0.06548068927748603
658.607172,0.06567742630330448
658.738375,0.06658339878503937
658.869577,0.06829627859867435
659.00078,0.0692660771395447
659.131983,0.07066534471616015
659.263185,0.0734904362703703
659.394388,0.07714257082606424
659.525591,0.08083057350999151
659.656793,0.08478810646256288
659.787996,0.08838968514736205
659.919198,0.0929772908551463
660.050401,0.09852942937971551
660.181604,0.10546248307225681
660.312806,0.11161498096571561
660.444009,0.12095943953929704
660.575212,0.12801600292828524
660.706414,0.1381935555592929
660.837617,0.14554062816119323
660.968819,0.15759922800748807
661.100022,0.17055456570464858
661.231225,0.1827383373315312
661.362427,0.19902994264971435
661.49363,0.21346124180637616
661.624832,0.2301094991706527
661.756035,0.24939931308755448
661.887238,0.2697660977694513
662.01844,0.28837314358851557
662.149643,0.3088807496607488
662.280846,0.3320731509994502
662.412048,0.3553329648260148
662.543251,0.3797394193654024
662.674453,0.4069113217327282
662.805656,0.4315723981628037
662.936859,0.4595948217194356
663.068061,0.48531359954423625
663.199264,0.5142221029251433
663.330467,0.5389243879554262
663.461669,0.5678999614388816
663.592872,0.59695711639723
663.724074,0.6239469064812102
663.855277,0.651335766098827
663.98648,0.6762854694456599
664.117682,0.7025982710092057
664.248885,0.7278502154228643
664.380088,0.7532335047375687
664.51129,0.7750714967600364
664.642493,0.7964188803130201
664.773695,0.8160089140474011
664.904898,0.8355291853156908
665.036101,0.8531840388121305
665.167303,0.8685240519649365
665.298506,0.8848386207826642
665.429709,0.8982741210207874
665.560911,0.911125163346286
665.692114,0.9224344154111862
665.823316,0.9321355825853543
665.954519,0.9430358312375287
666.085722,0.9513464329157976
666.216924,0.9584288019062903
666.348127,0.9628265477208958
666.47933,0.9705387007916849
666.610532,0.9745406960033686
666.741735,0.9785327726136765
666.872937,0.983371800430154
667.00414,0.986577890721787
667.135343,0.9877348378482987
667.266545,0.9895638386023694
667.397748,0.9905079367533158
667.528951,0.9918391817606325
667.660153,0.9948253349468142
667.791356,0.9946493659099824
667.922558,0.9946648825611202
668.053761,0.9949126844458095
668.184964,0.9968922391173325
668.316166,0.9971758953075411
668.447369,0.9963939175885377
668.578572,0.9983655371915946
668.709774,0.9978385393276368
668.840977,0.9991152915854657
668.972179,0.998722716421945
669.103382,0.9980684678138423
669.234585,0.9974387855209521
669.365787,0.9990283923167076
669.49699,1.00002648835081
