nu,[0]HCFE-235da2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
532.02455,0.9999772352591206
532.265613,0.9999781002398033
532.506675,0.9999792522152383
532.747737,0.9999806131879266
532.9888,0.9999818581645651
533.229862,0.9999827621485735
533.470924,0.9999834661366859
533.711987,0.9999843221228992
533.953049,0.9999854541057925
534.194111,0.9999866060896992
534.435174,0.9999874570786631
534.676236,0.9999879700723602
534.917298,0.9999883560677911
535.158361,0.999988731063495
535.399423,0.9999890120603678
535.640485,0.9999891610587417
535.881548,0.9999892920573304
536.12261,0.999989518054936
536.363672,0.9999897680523467
536.604735,0.9999899120508837
536.845797,0.9999899770502301
537.086859,0.999990101348992
537.327921,0.9999902884471574
537.568984,0.999990392946148
537.810046,0.999990392946148
538.051108,0.9999904974451496
538.292171,0.9999908814415743
538.533233,0.9999913772371762
538.774295,0.9999916470348862
539.015358,0.999991605735232
539.25642,0.9999915473357239
539.497482,0.999991705334401
539.738545,0.9999919483324149
539.979607,0.9999919824321408
540.220669,0.9999917806337791
540.461732,0.999991603235253
540.702794,0.9999915984352934
540.943856,0.9999915984352934
541.184919,0.9999914039369464
541.425981,0.9999911123394954
541.667043,0.9999909956405395
541.908106,0.9999911439392152
542.149168,0.9999913480374284
542.39023,0.9999913772371762
542.631292,0.999991241138359
542.872355,0.9999910807397768
543.113417,0.9999909786406928
543.354479,0.9999909300411324
543.595542,0.9999909543409122
543.836604,0.9999911050395603
544.077666,0.99999134323747
544.318729,0.9999915352358263
544.559791,0.9999916081352119
544.800853,0.9999916202351105
545.041916,0.9999916275350493
545.282978,0.9999915886353757
545.52404,0.9999914671364051
545.765103,0.9999913723372185
546.006165,0.9999914768363224
546.247227,0.9999917855337389
546.48829,0.9999920917312706
546.729352,0.9999922351301468
546.970414,0.9999922886297328
547.211477,0.9999923979288959
547.452539,0.9999925705275987
547.693601,0.9999926969266676
547.934663,0.999992777126085
548.175726,0.9999929277250087
548.416788,0.9999931586234023
548.65785,0.9999932777225946
548.898913,0.9999931611233852
549.139975,0.9999929885245805
549.381037,0.9999930687240214
549.6221,0.9999934430214971
549.863162,0.999993810019158
550.104224,0.9999938974186209
550.345287,0.9999937784193541
550.586349,0.9999937225197034
550.827411,0.9999938610188436
551.068474,0.9999941162173095
551.309536,0.9999943787157994
551.550598,0.999994619314476
551.791661,0.9999947748136513
552.032723,0.9999947311138806
552.273785,0.9999945172150305
552.514848,0.999994388415745
552.75591,0.9999945366149243
552.996972,0.9999948380133231
553.238034,0.9999949595127033
553.479097,0.9999947991135246
553.720159,0.9999946071145417
553.961221,0.9999946071145417
554.202284,0.9999947092139962
554.443346,0.9999946800141511
554.684408,0.9999945512148447
554.925471,0.9999945974145941
555.166533,0.999994927912863
555.407595,0.9999952536112642
555.648658,0.999995251111276
555.88972,0.9999949814125931
556.130782,0.9999947942135502
556.371845,0.9999948696131605
556.612907,0.9999950373123142
556.853969,0.9999950883120624
