nu,[0]1-Butanol-2-2-3-4-4-4-hexafluoro--HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
696.658662,0.9999737523444757
697.140779,0.9999742393318117
697.622896,0.9999752113072448
698.105012,0.9999761582842183
698.587129,0.9999765472750195
699.069246,0.9999767422704652
699.551362,0.999977155260945
700.033479,0.9999777382477965
700.515596,0.9999782732360295
700.997713,0.9999789292219919
701.479829,0.9999798532029495
701.961946,0.9999809711810502
702.444063,0.9999820161617111
702.926179,0.9999827201492983
703.408296,0.9999833041393774
703.890413,0.9999840811267066
704.372529,0.9999849561131604
704.854646,0.9999855641041986
705.336763,0.9999858800996867
705.818879,0.9999862200949438
706.300996,0.999986633089338
706.783113,0.9999869010857916
707.265229,0.999986973084851
707.747346,0.9999869010857916
708.229463,0.9999867300880461
708.71158,0.9999865850899807
709.193696,0.9999863900926156
709.675813,0.9999860010979855
710.15793,0.9999856121035068
710.640046,0.9999852481088102
711.122163,0.9999847131168456
711.60428,0.9999840811267066
712.086396,0.999983449136967
712.568513,0.9999827201492983
713.05063,0.9999818941639126
713.532746,0.999981019180138
714.014863,0.999980169196633
714.49698,0.999979342213375
714.979096,0.999978565229728
715.461213,0.999977811246174
715.94333,0.9999771062620656
716.425447,0.9999762312824805
716.907563,0.9999749683132979
717.38968,0.9999737523444757
717.871797,0.9999725373771048
718.353913,0.9999715654042708
718.83603,0.999970350439557
719.318147,0.9999693784688487
719.800263,0.9999681635067919
720.28238,0.9999671915382093
720.764497,0.9999657325871412
721.246613,0.9999637886556466
721.72873,0.9999623307095056
722.210847,0.9999618447279309
722.692963,0.9999630596823104
723.17508,0.999964274638166
723.657197,0.9999650036123878
724.139313,0.9999652466039133
724.62143,0.9999647606209215
725.103547,0.9999640316468767
725.585664,0.9999630596823104
726.06778,0.9999618447279309
726.549897,0.9999616017372321
727.032014,0.9999625737003814
727.51413,0.9999645176295142
727.996247,0.999966461562426
728.478364,0.9999676775223826
728.96048,0.9999684064990851
729.442597,0.9999691354763192
729.924714,0.9999698644540846
730.40683,0.9999705934323816
730.888947,0.9999713224112099
731.371064,0.9999720513905697
731.85318,0.9999735093508835
732.335297,0.9999749683132979
732.817414,0.9999760612865356
733.299531,0.999977009264291
733.781647,0.9999782492365513
734.263764,0.9999797072059016
734.745881,0.9999809951805939
735.227997,0.9999821371595424
735.710114,0.999983231140599
736.192231,0.9999843241228679
736.674347,0.9999852481088102
737.156464,0.9999858071007202
737.638581,0.9999861960952747
738.120697,0.9999867060883648
738.602814,0.9999871190829597
739.084931,0.9999874350789393
739.567047,0.9999879210729509
740.049164,0.9999885050660673
740.531281,0.9999889420611394
741.013398,0.9999892820574375
741.495514,0.9999895980541006
741.977631,0.9999899380506218
742.459748,0.9999901572484402
742.941864,0.9999902544474882
743.423981,0.999990205847963
743.906098,0.9999901086489197
744.388214,0.9999900600494016
744.870331,0.9999899630503705
745.352448,0.9999899630503705
745.834564,0.9999901572484402
746.316681,0.9999902544474882
746.798798,0.9999900114498859
747.280914,0.9999897680523467
747.763031,0.9999896470535922
748.245148,0.9999896470535922
748.727265,0.9999897440525926
749.209381,0.9999895500546011
749.691498,0.9999890640597978
750.173615,0.9999889420611394
750.655731,0.9999891610587417
751.137848,0.99998945205563
751.619965,0.999989720052839
752.102081,0.9999900357496435
752.584198,0.9999903030470157
753.066315,0.9999903030470157
753.548431,0.9999902544474882
754.030548,0.9999903516465457
754.512665,0.9999904488456126
754.994781,0.9999903516465457
755.476898,0.9999901572484402
755.959015,0.9999901329486797
756.441132,0.9999900843491604
756.923248,0.9999898660513488
757.405365,0.9999899380506218
757.887482,0.999990424545845
758.369598,0.9999906918433211
758.851715,0.9999907162430943
759.333832,0.9999908134421966
759.815948,0.9999908134421966
760.298065,0.9999907405428691
760.780182,0.9999908620417514
761.262298,0.9999910807397768
761.744415,0.9999911050395603
762.226532,0.9999908863415297
762.708648,0.9999908134421966
763.190765,0.9999910564399939
763.672882,0.999991226538487
764.154999,0.9999911779389146
764.637115,0.9999910564399939
765.119232,0.9999909592408679
765.601349,0.9999909835406485
766.083465,0.9999912022387005
766.565582,0.9999914696363837
767.047699,0.9999915911353547
767.529815,0.9999915911353547
768.011932,0.9999915668355593
768.494049,0.9999915425357645
768.976165,0.9999914696363837
769.458282,0.9999914939361768
769.940399,0.9999915668355593
770.422515,0.9999913723372185
770.904632,0.9999910807397768
771.386749,0.9999911050395603
771.868865,0.9999912751380619
772.350982,0.9999912994378501
772.833099,0.999991226538487
773.315216,0.9999912751380619
773.797332,0.9999912751380619
774.279449,0.9999910807397768
774.761566,0.9999909592408679
775.243682,0.9999911293393445
775.725799,0.999991226538487
776.207916,0.9999909349410879
776.690032,0.9999907162430943
777.172149,0.9999907891424202
777.654266,0.9999907405428691
778.136382,0.9999904002460779
778.618499,0.9999900600494016
779.100616,0.9999898900511058
779.582732,0.9999899140508636
780.064849,0.9999899140508636
780.546966,0.9999896950530963
781.029083,0.9999895250548626
781.511199,0.9999895980541006
781.993316,0.9999896710533439
782.475433,0.9999895010551143
782.957549,0.9999892580576951
783.439666,0.9999892340579531
783.921783,0.99998945205563
784.403899,0.9999895500546011
784.886016,0.9999894770553666
785.368133,0.99998945205563
785.850249,0.9999895250548626
786.332366,0.9999895010551143
786.814483,0.9999894770553666
787.296599,0.9999896230538409
787.778716,0.9999897680523467
788.260833,0.9999897440525926
788.74295,0.9999895980541006
789.225066,0.9999895740543505
789.707183,0.9999897440525926
790.1893,0.9999899630503705
790.671416,0.9999901329486797
791.153533,0.9999901329486797
791.63565,0.9999898660513488
792.117766,0.999989720052839
792.599883,0.9999900357496435
793.082,0.9999904974451496
793.564116,0.9999906432437747
794.046233,0.999990521744919
794.52835,0.9999903030470157
795.010466,0.999990205847963
795.492583,0.9999903030470157
795.9747,0.9999903759463115
796.456817,0.9999902301477254
796.938933,0.9999900600494016
797.42105,0.9999900114498859
797.903167,0.9999900600494016
798.385283,0.9999902301477254
798.8674,0.9999903759463115
799.349517,0.9999903516465457
799.831633,0.9999903516465457
800.31375,0.9999904488456126
800.795867,0.999990521744919
801.277983,0.9999903759463115
801.7601,0.9999901086489197
802.242217,0.9999899140508636
802.724333,0.9999898900511058
803.20645,0.9999899630503705
803.688567,0.9999900114498859
804.170684,0.9999898900511058
804.6528,0.9999896710533439
805.134917,0.9999895250548626
805.617034,0.9999894770553666
806.09915,0.9999894770553666
806.581267,0.9999895740543505
807.063384,0.9999896950530963
807.5455,0.999989720052839
808.027617,0.9999896230538409
808.509734,0.9999895740543505
808.99185,0.9999895980541006
809.473967,0.9999895010551143
809.956084,0.9999891850584819
810.4382,0.9999889910605988
810.920317,0.9999890880595357
811.402434,0.9999892340579531
811.88455,0.9999891120592741
812.366667,0.9999887960627646
812.848784,0.9999887480633035
813.330901,0.9999889180614051
813.813017,0.9999889420611394
814.295134,0.9999889420611394
814.777251,0.9999891360590131
815.259367,0.9999892340579531
815.741484,0.9999890390600715
816.223601,0.9999888690619494
816.705717,0.9999888450622167
817.187834,0.9999887480633035
817.669951,0.9999885770652422
818.152067,0.999988602064957
818.634184,0.9999887720630337
819.116301,0.9999887480633035
819.598417,0.9999885530655167
820.080534,0.9999884070671986
820.562651,0.9999883340680475
821.044768,0.9999882130694664
821.526884,0.9999879700723602
822.009001,0.9999874840783248
822.491118,0.999986973084851
822.973234,0.9999866580890041
823.455351,0.9999862690942698
823.937468,0.999985734101759
824.419584,0.999985345107384
824.901701,0.9999849561131604
825.383818,0.9999843491224762
825.865934,0.9999836201341514
826.348051,0.9999829151459477
826.830168,0.9999822341578144
827.312284,0.9999813351741901
827.794401,0.999980169196633
828.276518,0.9999790752189263
828.758635,0.9999780782402853
829.240751,0.9999768392682139
829.722868,0.9999752113072448
830.204985,0.9999735093508835
830.687101,0.9999720513905697
831.169218,0.9999705934323816
831.651335,0.9999688924838488
832.133451,0.9999667055542724
832.615568,0.9999647606209215
833.097685,0.9999628166913164
833.579801,0.9999606297750276
834.061918,0.9999584418635633
834.544035,0.9999562549568423
835.026151,0.9999543110437722
835.508268,0.999952367134481
835.990385,0.9999504222290183
836.472502,0.999948478327287
836.954618,0.999946777416372
837.436735,0.9999448335217261
837.918852,0.9999428886309163
838.400968,0.9999409447438303
838.883085,0.9999390008605231
839.365202,0.9999372999657293
839.847318,0.9999358410582729
840.329435,0.9999346261369642
840.811552,0.9999338971848873
841.293668,0.9999334112171314
841.775785,0.9999334112171314
842.257902,0.9999338971848873
842.740018,0.9999351121053105
843.222135,0.9999365700117667
843.704252,0.9999380289202867
844.186369,0.9999397298163205
844.668485,0.9999414307152475
845.150602,0.9999428886309163
845.632719,0.9999448335217261
846.114835,0.9999470204034684
846.596952,0.9999492072899934
847.079069,0.9999511511931418
847.561185,0.9999528531114494
848.043302,0.9999547970216854
848.525419,0.9999569839252179
849.007535,0.9999591718334923
849.489652,0.9999611157560118
849.971769,0.9999635456644754
850.453885,0.9999654895954977
850.936002,0.9999674345302664
851.418119,0.9999693784688487
851.900235,0.9999715654042708
852.382352,0.9999735093508835
852.864469,0.9999749683132979
853.346586,0.9999763532795881
853.828702,0.999977374255966
854.310819,0.9999782972355084
854.792936,0.9999790992184244
855.275052,0.9999798282034534
855.757169,0.9999804841904358
856.239286,0.9999811161783017
856.721402,0.999981700167444
857.203519,0.999982161159114
857.685636,0.9999824041548087
858.167752,0.9999823561556545
858.649869,0.9999822101582411
859.131986,0.9999820161617111
859.614102,0.9999816021692421
860.096219,0.9999813841732766
860.578336,0.9999813841732766
861.060453,0.999981019180138
861.542569,0.9999801201976058
862.024686,0.9999791962164017
862.506803,0.9999785402302641
862.988919,0.9999778842445569
863.471036,0.999977009264291
863.953153,0.9999761102853638
864.435269,0.9999754543012506
864.917386,0.9999744823255814
865.399503,0.9999732663573502
865.881619,0.9999720513905697
866.363736,0.9999705934323816
866.845853,0.9999693784688487
867.327969,0.9999681635067919
867.810086,0.9999669485462114
868.292203,0.9999657325871412
868.77432,0.999964274638166
869.256436,0.9999628166913164
869.738553,0.9999618447279309
870.22067,0.9999611157560118
870.702786,0.9999601437942797
871.184903,0.9999589278434842
871.66702,0.9999579558838786
872.149136,0.9999572269147945
872.631253,0.9999567409357003
873.11337,0.9999560119675018
873.595486,0.9999550400107307
874.077603,0.9999538250660951
874.55972,0.9999526101229357
875.041836,0.9999521241460853
875.523953,0.9999521241460853
876.00607,0.9999526101229357
876.488187,0.9999530961000224
876.970303,0.9999530961000224
877.45242,0.9999528531114494
877.934537,0.9999526101229357
878.416653,0.9999528531114494
878.89877,0.9999533390886541
879.380887,0.9999533390886541
879.863003,0.9999530961000224
880.34512,0.9999533390886541
880.827237,0.9999538250660951
881.309353,0.9999543110437722
881.79147,0.9999545540326993
882.273587,0.9999550400107307
882.755703,0.9999555259889982
883.23782,0.9999557689782205
883.719937,0.9999560119675018
884.202054,0.9999560119675018
884.68417,0.9999562549568423
885.166287,0.9999560119675018
885.648404,0.9999560119675018
886.13052,0.9999557689782205
886.612637,0.9999552829998348
887.094754,0.9999550400107307
887.57687,0.9999545540326993
888.058987,0.9999543110437722
888.541104,0.9999543110437722
889.02322,0.9999543110437722
889.505337,0.999954068054904
889.987454,0.999954068054904
890.46957,0.999954068054904
890.951687,0.999954068054904
891.433804,0.9999538250660951
891.91592,0.9999543110437722
892.398037,0.9999547970216854
892.880154,0.9999552829998348
893.362271,0.9999552829998348
