nu,[0]Peroxynitricacid-HITRAN(x-sec)-X=0.01-T=220.0K-P=0.0001atm-L=15cm
818.268275,0.9998971452899085
818.32854,0.9999197392210687
818.388805,0.9999233739359268
818.44907,0.9998988051205473
818.509335,0.9998991050902338
818.5696,0.9999137477199418
818.629865,0.9999041985892483
818.69013,0.9999140866907598
818.750395,0.9999287755365825
818.81066,0.9999310353781689
818.870925,0.9999198462124865
818.93119,0.999913799715458
818.991455,0.9999293804936747
819.05172,0.9999121108624766
819.111985,0.9999302074356143
819.17225,0.9999139137056378
819.232515,0.9999412037285685
819.29278,0.9999363970227552
819.353045,0.9999171034361101
819.41331,0.9999379509251235
819.473575,0.9999261557266226
819.53384,0.9999233309392227
819.594105,0.9999238978959121
819.65437,0.9999284975564215
819.714635,0.9999289565237073
819.7749,0.9999250298104051
819.835165,0.9999228219783768
819.89543,0.9999249058197092
819.955695,0.9999252797916939
820.01596,0.9999343581545203
820.076225,0.999940140791634
820.13649,0.999933707197465
820.196755,0.9999426926421293
820.25702,0.9999387318769681
820.317285,0.9999356690693231
820.37755,0.9999478923576504
820.437815,0.9999339371822441
820.49808,0.9999500732463819
820.558345,0.9999454114900069
820.61861,0.9999314253513487
820.678875,0.999948202341545
820.73914,0.9999501532423909
820.799405,0.9999372899663563
820.85967,0.9999397578146333
820.919935,0.9999495562723276
820.9802,0.9999333882186633
821.040465,0.9999466574227659
821.10073,0.9999437015848153
821.160995,0.9999348871199356
821.22126,0.9999422876654208
821.281525,0.9999434505989777
821.34179,0.9999397608144526
821.402055,0.9999272546460716
821.46232,0.9999381349137234
821.522585,0.9999525171273472
821.58285,0.999958400865268
821.643115,0.9999585998570095
821.70338,0.9999476773688766
821.763645,0.9999466754218058
821.82391,0.9999517001664745
821.884175,0.9999464854319556
821.94444,0.9999424096583874
822.004705,0.9999477973626051
822.06497,0.9999562309578924
822.125235,0.9999561869598192
822.1855,0.9999575828996307
822.245765,0.9999511651924581
822.30603,0.9999527211176816
822.366295,0.9999500822459325
822.42656,0.9999705064349438
822.486825,0.9999582778703923
822.54709,0.9999467054202066
822.607355,0.9999587908491204
822.66762,0.9999575719000973
822.727885,0.9999444885408181
822.78815,0.9999683095021544
822.848415,0.999961444743273
822.90868,0.9999438805747538
822.968945,0.9999629506863428
823.02921,0.9999583008694329
823.089475,0.9999579008861925
823.14974,0.9999515741725682
823.210005,0.9999649956126678
823.27027,0.9999666645556383
823.330535,0.9999672835351953
823.3908,0.999939470831964
823.451065,0.99995121718992
823.51133,0.9999747613185008
823.571595,0.9999427486389217
823.63186,0.9999630646821257
823.692125,0.9999557039810976
823.75239,0.9999652256046433
823.812655,0.9999519091564016
823.87292,0.9999577118941672
823.933185,0.999956402950379
823.99345,0.9999686754906227
824.053715,0.9999699734508058
824.11398,0.9999594738212078
824.174245,0.9999662135707743
824.23451,0.9999632976735469
824.294775,0.9999606357747914
824.35504,0.9999654035984693
824.415305,0.9999604837807864
824.47557,0.9999659515796606
824.535835,0.999966790551446
824.5961,0.9999658325837195
824.656365,0.999967376532157
824.71663,0.9999656935884784
824.776895,0.999958675853866
824.83716,0.999971669401319
824.897425,0.9999859030993622
824.95769,0.9999556759823383
825.017955,0.9999686024929121
825.07822,0.9999719523933415
825.138485,0.9999819341631891
825.19875,0.9999518261603967
825.259015,0.999972888367527
825.31928,0.9999517481641573
825.379545,0.9999690834779256
825.43981,0.9999767502702791
825.500075,0.9999676795223179
825.56034,0.999960378784941
825.620605,0.9999571819167203
825.68087,0.999963081681498
825.741135,0.9999643286362382
825.8014,0.9999659415800012
825.861665,0.9999649146155065
825.92193,0.9999707394280989
825.982195,0.9999702754417834
826.04246,0.9999696454607083
826.102725,0.9999689854809601
826.16299,0.9999722933838354
826.223255,0.9999685634941373
826.28352,0.9999750253118728
826.343785,0.9999748573160826
826.40405,0.9999658045846765
826.464315,0.9999609047642386
826.52458,0.9999779552429893
826.584845,0.9999800131997387
826.64511,0.9999709064232263
826.705375,0.9999637746561536
826.76564,0.9999805941882952
826.825905,0.9999766802719091
826.88617,0.9999812741753304
826.946435,0.9999692684722231
827.0067,0.9999846561177186
827.066965,0.9999811881769446
827.12723,0.9999753033049684
827.187495,0.9999721613875013
827.24776,0.9999754443014961
827.308025,0.9999772672583926
827.36829,0.9999818871640394
827.428555,0.9999675475265929
827.48882,0.9999742473316057
827.549085,0.9999821851586862
827.60935,0.9999734443526075
827.669615,0.9999688964837244
827.72988,0.999971796397729
827.790145,0.999971134416619
827.85041,0.9999782592363339
827.910675,0.9999901954480649
827.97094,0.9999808411835325
828.031205,0.9999734693519439
828.09147,0.999976403278407
828.151735,0.9999755842980681
828.212,0.999991352137393
828.272265,0.9999776792491116
828.33253,0.9999751983075671
828.392795,0.9999802371952868
828.45306,0.9999831211424495
828.513325,0.9999823731553547
828.57359,0.9999780482409434
828.633855,0.9999810391797587
828.69412,0.9999768802672652
828.754385,0.9999840081278714
828.81465,0.9999794582109854
828.874915,0.999985035111975
828.93518,0.9999755672984834
828.995445,0.9999871140830241
829.05571,0.9999773022575976
829.115975,0.9999803071939058
829.17624,0.999976465276946
829.236505,0.9999825061530191
829.29677,0.999978765225461
829.357035,0.9999788782230679
829.4173,0.9999852311090611
829.477565,0.9999824491540179
829.53783,0.9999829791448563
829.598095,0.9999844961201864
829.65836,0.9999790232200158
829.718625,0.9999824781535094
829.77889,0.9999829991445162
829.839155,0.9999896250538202
829.89942,0.9999867410879002
829.959685,0.999976242282219
