nu,[0]HFE-347mcc3-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
731.33702,0.9998894561104261
731.578074,0.9999598198072456
731.819128,0.9999416936998784
732.060182,1.0
732.301236,0.9999937578194825
732.54229,0.999958136876285
732.783344,1.0
733.024398,0.9999605297789697
733.265452,1.0
733.506506,1.0
733.74756,0.9999349661147948
733.988614,1.0
734.229668,0.9999766702721423
734.470722,0.9999424056586178
734.711776,0.9999709694213954
734.95283,0.9999540900538938
735.193884,0.9999292075059069
735.434938,0.9998851665938604
735.675992,0.999935521078855
735.917046,0.9998889161702655
736.1581,0.9999775162527632
736.399154,0.9998954754630701
736.640208,0.9999754973001961
736.881262,0.9999660295770079
737.122316,0.9999941417171598
737.36337,0.9999892740575234
737.604424,0.999996151107407
737.845478,0.9998576101383988
738.086532,0.9999477933628139
738.327586,0.9999841741252304
738.56864,0.9999562319578487
738.809694,0.9998526508569515
739.050748,0.9998997650238609
739.291802,0.9999115369130896
739.532856,0.9998976752355359
739.77391,0.9999065423674367
740.014964,0.9998909259490069
740.256018,0.9998656890205273
740.497072,0.9999328772528324
740.738126,0.999880007199712
740.97918,0.9999173634145907
741.220234,0.9999544240386157
741.461288,0.9997672670865072
741.702342,0.9999049665159676
741.943396,0.9998655290420299
742.18445,0.9999307194000117
742.425504,0.9998462318235382
742.666558,0.999918823295007
742.907612,0.999907400287618
743.148666,0.9998434922486161
743.38972,0.9998480915392588
743.630774,0.9998903160157281
743.871828,0.9998288046555956
744.112882,0.9998096981097023
744.353936,0.9998548005424618
744.59499,0.9998326040122721
744.836044,0.9998975152519206
745.077098,0.999893245698646
745.318152,0.9998782074173188
745.559206,0.9998712382905006
745.80026,0.9999697014590101
746.041314,0.9999508632072518
746.282368,0.9999345901393182
746.523422,0.9999141766830316
746.764476,0.9999511941910423
747.00553,0.9998842866953009
747.246584,0.9998652590783734
747.487638,0.9999108739719604
747.728692,0.9999036376431502
747.969746,0.999872318152021
748.2108,0.999871818215987
748.451854,0.999989628053789
748.692908,0.9998972052837389
748.933962,0.9998622694857183
749.175016,0.9999643446356676
749.41607,0.9999378139336336
749.657124,0.9999146256445978
749.898178,0.999932478279694
750.139232,0.9999364680182419
750.380286,0.9999334442149346
750.62134,0.9999689464821705
750.862394,0.9999490812964011
751.103448,0.9999450495098335
751.344502,0.9998979752048834
751.585556,0.9999487743120804
751.82661,1.0
752.067664,0.9998447020599737
752.308718,0.9999276176197309
752.549772,0.9999451755029177
752.790826,0.9999742343319405
753.03188,0.9999480703483911
753.272934,0.999960874765412
753.513988,0.9999937383196044
753.755042,0.9999333812191296
753.996096,0.9999983551013528
754.23715,0.9999845531193043
754.478204,1.0
754.719258,0.9999511811916768
754.960312,0.9998998050198523
755.201366,0.9999851591101271
755.44242,0.9999835991344956
755.683474,0.9999964909061568
755.924528,0.9999946814141437
756.165582,1.0
756.406636,0.9999496802660803
756.64769,0.99997458132306
756.888744,0.9999906647435738
757.129798,0.9999924584284378
757.370852,0.9999086441731977
757.611906,0.999934076173071
757.85296,0.9999904639454684
758.094014,0.9999609667618167
758.335068,0.9999792962143264
758.576122,1.0
758.817176,0.999978741225971
759.05823,0.9999681505072059
759.299284,0.9999847911156563
759.540338,0.9999654505968444
759.781392,0.9999581528756153
760.022446,1.0
760.2635,0.999997845002322
760.504554,0.9999972488037846
760.745608,0.999991789533706
760.986662,0.9999711994147448
761.227716,0.9999928091258544
761.46877,0.9999868260867768
761.709824,0.9999924626284061
761.950878,0.9999828211475582
762.191932,1.0
762.432986,0.99995888584521
762.67404,0.9999994894401303
762.915094,1.0
763.156148,0.9999701384458651
763.397202,1.0
763.638256,0.9999860810968688
763.87931,1.0
764.120364,0.9999799832003388
764.361418,0.9999361440388786
764.602472,0.9999728013698894
764.843526,0.9999980927018189
765.08458,0.9999890990594157
765.325634,0.9999711294167634
765.566688,0.9999991763503392
765.807742,1.0
766.048796,0.9999573259105649
766.28985,0.9999826881498518
766.530904,0.9999804961902018
766.771958,1.0
767.013012,0.999927097657505
767.254066,0.9999966951054612
767.49512,1.0
767.736174,0.9999594358227485
767.977228,0.9999591818330841
768.218282,0.9999308633900456
768.459336,0.9999881190705788
768.70039,0.9999841421257374
768.941444,0.9999753023049931
769.182498,0.9999435905910705
769.423552,1.0
769.664606,1.0
769.90566,0.9999737673440822
770.146714,0.9999080802248814
770.387768,1.0
770.628822,0.9999835621351032
770.869876,1.0
771.11093,0.9999670965413306
771.351984,0.9999864550917331
771.593038,0.9999716074030774
771.834092,0.9999971694040062
772.075146,0.9999963749065707
772.3162,0.9999829701450096
772.557254,0.999959707811752
772.798308,0.9999383439008154
773.039362,0.9999873770796698
773.280416,0.9999961270075001
773.52147,0.999980225195524
773.762524,1.0
774.003578,1.0
774.244632,0.999999956156001
774.485686,0.9999358960547458
774.72674,0.9999960867076569
774.967794,0.999993733119637
775.208848,0.999939139852054
