nu,[0]1-Penten-3-ol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
619.796396,0.9895153511622299
619.931399,0.9903633331508697
620.066401,0.9900339930785538
620.201404,0.9903065869576742
620.336407,0.9887260328918791
620.471409,0.9893422011268465
620.606412,0.991158815174581
620.741415,0.9910758586535298
620.876418,0.9904863439156574
621.01142,0.9907975045414994
621.146423,0.9895301940038184
621.281426,0.9887636051949982
621.416428,0.9914775239633523
621.551431,0.991510441563577
621.686434,0.992110090032012
621.821436,0.9900670607661499
621.956439,0.9903778915988714
622.091442,0.9894757713397851
622.226445,0.9900506257893519
622.361447,0.9906398811977963
622.49645,0.9928807626918589
622.631453,0.9932256500669678
622.766455,0.9921934307798371
622.901458,0.9906981325353833
623.036461,0.9903452096677035
623.171463,0.9921921409292155
623.306466,0.9919589039749613
623.441469,0.9924813078486563
623.576472,0.9916502543924103
623.711474,0.9909343431253633
623.846477,0.9924396245090829
623.98148,0.9913959287208204
624.116482,0.9928939680938184
624.251485,0.9916344872787143
624.386488,0.9929548343595945
624.52149,0.9928961524629509
624.656493,0.9920046343345112
624.791496,0.9922200219201017
624.926499,0.9933109718148252
625.061501,0.9940779051443734
625.196504,0.9914057435890983
625.331507,0.9922204188081899
625.466509,0.9940410255382135
625.601512,0.9935821827287359
625.736515,0.9940648828091125
625.871517,0.9937614411231211
626.00652,0.9933917312796614
626.141523,0.9930787628558999
626.276526,0.9940022586941759
626.411528,0.9945127104755497
626.546531,0.9936267955702912
626.681534,0.9949354682071564
626.816536,0.9940882436083468
626.951539,0.9939744270205777
627.086542,0.9936324592591674
627.221544,0.9941603176186598
627.356547,0.9928939680938184
627.49155,0.9955323099525503
627.626553,0.9949094012393681
627.761555,0.9945424468501495
627.896558,0.9938394544582327
628.031561,0.9933105744905159
628.166563,0.9945242468899023
628.301566,0.9972103981904151
628.436569,0.9955329072721154
628.571571,0.9953950355122979
628.706574,0.9941458029839796
628.841577,0.9932933903662203
628.97658,0.995360595439886
629.111582,0.993507170105702
629.246585,0.9954678015489602
629.381588,0.9945350872632733
629.51659,0.9956694041903523
629.651593,0.9931710241584404
629.786596,0.9929176985432335
629.921598,0.9947721132150886
630.056601,0.9952509127458958
630.191604,0.9956911100199564
630.326607,0.9937166234927717
630.461609,0.9932700482458177
630.596612,0.9927035492924847
630.731615,0.9948113080084817
630.866617,0.9951209414640008
631.00162,0.9942681898650849
631.136623,0.9933032240194615
631.271625,0.9935161117104702
631.406628,0.9941661831818371
631.541631,0.9925034404285986
631.676634,0.9936205357411976
631.811636,0.9945405572212956
631.946639,0.9945130088294076
632.081642,0.9938525732256153
632.216644,0.9924086608758333
632.351647,0.9926159967005632
632.48665,0.9935591318894874
632.621652,0.9925967401370165
632.756655,0.9922305395080772
632.891658,0.9933534864342252
633.026661,0.9922300433929314
633.161663,0.9928598131287847
633.296666,0.9929154148351531
633.431669,0.9921585061857501
633.566671,0.9927876348440827
633.701674,0.9934941552470212
633.836677,0.9913112671236093
633.971679,0.9916451969890093
634.106682,0.991608209312986
634.241685,0.9913221716075222
634.376688,0.9915239261972776
634.51169,0.9903678888326802
634.646693,0.992022490578635
634.781696,0.989897377814179
634.916698,0.9912804378225999
635.051701,0.9911037082764433
635.186704,0.9921558273613998
635.321706,0.9893530839509144
635.456709,0.9900349831130418
635.591712,0.9908229683645748
635.726715,0.9926490513636105
635.861717,0.9914137740081445
635.99672,0.9912234408361041
636.131723,0.9899825126494164
636.266725,0.990168844891611
636.401728,0.9899231154805903
636.536731,0.9908846985583795
636.671733,0.9911033118350393
636.806736,0.9915107390167541
636.941739,0.9900330030450557
637.076742,0.9893520945983251
637.211744,0.9900828029575661
637.346747,0.990207462229595
637.48175,0.9907656013754969
637.616752,0.9893095533729003
637.751755,0.9896529033556974
637.886758,0.9896726966116964
638.02176,0.9910920133216861
638.156763,0.9893441798132274
638.291766,0.9880055142748462
638.426769,0.9883088785317594
638.561771,0.9888852305982462
638.696774,0.9894777502933068
638.831777,0.9881329752072411
638.966779,0.9879294407791143
639.101782,0.9888525979240785
639.236785,0.9894193728281916
639.371787,0.9876311311350224
639.50679,0.9877111324966558
639.641793,0.9880035382657937
639.776796,0.9870337950130826
639.911798,0.9872657752115165
640.046801,0.9878484338862984
640.181804,0.9866005822742255
640.316806,0.9845348331151709
640.451809,0.9868748953638505
640.586812,0.9865847967911934
640.721814,0.9863470585037809
640.856817,0.9863470585037809
640.99182,0.9858441497565751
641.126823,0.985348394842061
641.261825,0.9841981797732483
641.396828,0.9852528206831831
641.531831,0.9857337413947861
641.666833,0.984963198930386
641.801836,0.9852380420017132
641.936839,0.9857347271290203
642.071841,0.9842946359211402
642.206844,0.9847711498319902
642.341847,0.9842641232603753
642.47685,0.9842818401740457
642.611852,0.9852833639940431
642.746855,0.9850025982463243
642.881858,0.9847120653355529
643.01686,0.984832207536049
643.151863,0.983602919958736
643.286866,0.983547839737479
643.421868,0.9833462330957196
643.556871,0.9829175875896006
643.691874,0.9831977590245966
643.826877,0.9818752650790402
643.961879,0.9821404071931862
644.096882,0.9819282877749543
644.231885,0.9814374463516485
644.366887,0.9814011338379192
644.50189,0.9812706161667363
644.636893,0.9809036895758394
644.771895,0.9823427489575541
644.906898,0.9816975617386983
645.041901,0.9807889305576926
645.176904,0.9811666069940062
645.311906,0.9808556264726058
645.446909,0.9809174223236226
645.581912,0.9793403952496128
645.716914,0.9796313025445968
645.851917,0.9785944221202902
645.98692,0.9802143566109943
646.121922,0.9797576831339978
646.256925,0.9789125169950966
646.391928,0.9790348887077936
646.526931,0.9783439340120733
646.661933,0.979041741976001
646.796936,0.9792708645499191
646.931939,0.9791210475689343
647.066941,0.9786521608944725
647.201944,0.9776974623541124
647.336947,0.9778754194858685
647.471949,0.9769478559113064
647.606952,0.9778783531165275
647.741955,0.9772800746563025
647.876958,0.977538110655265
648.01196,0.9768491891606141
648.146963,0.9768003479221972
648.281966,0.9756942598452197
648.416968,0.9763999418683992
648.551971,0.9762505641049836
648.686974,0.9762905911986617
648.821976,0.9755830370394177
648.956979,0.9754113495338425
649.091982,0.9751119442106042
649.226985,0.9751168197825142
649.361987,0.9743925770748998
649.49699,0.9743341152741469
649.631993,0.9736659512775226
649.766995,0.9745153582746644
649.901998,0.9737010038827117
650.037001,0.9729641911415808
650.172003,0.9737604014555561
650.307006,0.9749354649205597
650.442009,0.9724039251395821
650.577012,0.971981021420374
650.712014,0.9719236762318099
650.847017,0.9715961931369206
650.98202,0.9725614673360281
651.117022,0.9728523066930787
651.252025,0.971350410392885
651.387028,0.9708066064423826
651.52203,0.9717808139520386
651.657033,0.9697296089534186
651.792036,0.9715583016242775
651.927039,0.9704862931168622
652.062041,0.9713669234902227
652.197044,0.9701457122034252
652.332047,0.9687371140779522
652.467049,0.9676430593963556
652.602052,0.9698324057401011
652.737055,0.9696229445630827
652.872057,0.969983711396931
653.00706,0.9693253160074228
653.142063,0.9669939886910754
653.277066,0.9683545384815458
653.412068,0.9674214945059021
653.547071,0.9679450111329088
653.682074,0.967658541809165
653.817076,0.9676478976237481
653.952079,0.9662293988811564
