nu,[0]HFE-365mcf3-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
675.445528,0.9999750653108745
675.927645,0.9999756722959234
676.409762,0.9999765472750195
676.891879,0.999977544252134
677.373995,0.9999786202285506
677.856112,0.9999796292074874
678.338229,0.999980361192844
678.820345,0.9999808831827287
679.302462,0.9999813471739661
679.784579,0.9999819141635508
680.266695,0.9999826991496614
680.748812,0.9999835271356792
681.230929,0.9999843271228208
681.713045,0.9999851701099639
682.195162,0.9999859650984901
682.677279,0.9999866650889108
683.159396,0.9999874380789016
683.641512,0.9999884240670016
684.123629,0.999989484055293
684.605746,0.9999902204478202
685.087862,0.9999906578436382
685.569979,0.999991333537554
686.052096,0.9999921695306583
686.534212,0.9999926385270957
687.016329,0.9999928378256485
687.498446,0.9999932388228568
687.980562,0.9999938950186354
688.462679,0.9999945925146205
688.944796,0.9999950737121341
689.426913,0.9999953435108415
689.909029,0.9999957323091067
690.391146,0.9999961868072702
690.873263,0.9999964712062263
691.355379,0.9999967166053904
691.837496,0.999997042304374
692.319613,0.999997287803678
692.801729,0.9999973874034128
693.283846,0.9999974214033246
693.765963,0.9999973218035864
694.248079,0.9999972513037777
694.730196,0.9999974554032375
695.212313,0.9999977495025324
695.694429,0.9999978249023656
696.176546,0.9999977811024617
696.658663,0.9999978103023974
697.14078,0.9999979561020887
697.622896,0.9999981967016259
698.105013,0.9999984033012748
698.58713,0.9999982915014595
699.069246,0.9999978589022922
699.551363,0.9999975988028829
700.03348,0.9999976717027105
700.515596,0.9999978953022148
700.997713,0.9999982332015608
701.47983,0.999998566101028
701.961946,0.9999986171009562
702.444063,0.9999984665011759
702.92618,0.9999985175010989
703.408297,0.9999988164007004
703.890413,0.9999990497404515
704.37253,0.9999991007804043
704.854647,0.9999990254404749
705.336763,0.9999990011404989
705.81888,0.9999991566803555
706.300997,0.9999992587502747
706.783113,0.9999991080703978
707.26523,0.9999987800007442
707.747347,0.9999985442010597
708.229463,0.9999984738011647
708.71158,0.9999984640011796
709.193697,0.9999985272010846
709.675813,0.9999986949008517
710.15793,0.9999987192008202
710.640047,0.9999984883011426
711.122164,0.9999982890014638
711.60428,0.9999982259015737
712.086397,0.99999812380176
712.568514,0.9999980144019713
713.05063,0.9999980096019808
713.532747,0.9999978370023392
714.014864,0.9999973680034637
714.49698,0.9999968746048841
714.979097,0.9999963740065739
715.461214,0.9999958636085549
715.94333,0.9999954893101732
716.425447,0.9999952244114032
716.907564,0.9999948113134612
717.389681,0.9999939679181931
717.871797,0.99999281112584
718.353914,0.9999917588339586
718.836031,0.9999907623426674
719.318147,0.9999892990572555
719.800264,0.9999873840795814
720.282381,0.9999856881024162
720.764497,0.9999843271228208
721.246614,0.9999827351490392
721.728731,0.9999808981824421
722.210847,0.9999793402134163
722.692964,0.9999781322391029
723.175081,0.9999770652630051
723.657198,0.9999761152852443
724.139314,0.9999754783006618
724.621431,0.9999753813030451
725.103548,0.9999754293018646
725.585664,0.9999749923126974
726.067781,0.9999741903330752
726.549898,0.9999730723625554
727.032014,0.9999715174056368
727.514131,0.9999702534424376
727.996248,0.999970301441011
728.478364,0.9999714684070337
728.960481,0.9999727803704609
729.442598,0.9999735823489523
729.924714,0.9999735823489523
730.406831,0.9999731213612371
730.888948,0.9999730483632019
731.371065,0.9999733393554013
731.853181,0.9999733153560414
732.335298,0.9999731933593045
732.817415,0.9999735823489523
733.299531,0.9999745793231108
733.781648,0.9999757332944412
734.263765,0.9999770702628904
734.745881,0.9999790022204564
735.227998,0.9999811141783393
735.710115,0.9999829541452823
736.192231,0.9999847211167233
736.674348,0.9999864410919228
737.156465,0.9999882420691251
737.638582,0.9999901863481542
738.120698,0.9999918074335593
738.602815,0.9999932048230873
739.084932,0.9999947116139836
739.567048,0.999995819808737
740.049165,0.9999961965072333
740.531282,0.9999964396063382
741.013398,0.9999968673049069
741.495515,0.999997078704267
741.977632,0.9999969086047784
742.459748,0.999996765205232
742.941865,0.9999970131044608
743.423982,0.9999974117033497
743.906099,0.9999976256028189
744.388215,0.9999977787024671
744.870332,0.999997917202169
745.352449,0.9999980412019185
745.834565,0.9999981457017192
746.316682,0.9999982186015867
746.798799,0.9999982939014553
747.280915,0.9999983644013376
747.763032,0.9999984349012248
748.245149,0.9999985126011062
748.727265,0.9999985807010072
749.209382,0.9999986536009065
749.691499,0.9999987289008079
750.173615,0.9999987970007236
750.655732,0.9999988699006386
751.137849,0.9999988480006635
751.619966,0.9999991348003743
752.102082,0.9999988043007149
752.584199,0.999998327901398
753.066316,0.9999984567011909
753.548432,0.9999990862004176
754.030549,0.9999995017801241
754.512666,0.9999993729801966
754.994782,0.9999990934904108
755.476899,0.9999992563202765
755.959016,0.9999997059300433
756.441132,0.9999999246600029
756.923249,0.9999998250200153
757.405366,0.9999994264401645
