nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
654.529091,0.9667242350006203
654.657093,0.966604368627349
654.785096,0.9656488694789882
654.913098,0.9668740888704204
655.041101,0.9667223015540838
655.169103,0.966359848655167
655.297106,0.9661733592011877
655.425109,0.9668170449819882
655.553111,0.9660342402542674
655.681114,0.9658333260280983
655.809116,0.9655976914451357
655.937119,0.9668276800279757
656.065121,0.9658043514629382
656.193124,0.9660883396864915
656.321126,0.9661598328688435
656.449129,0.9659685521593506
656.577132,0.9658062830735727
656.705134,0.9660313421558938
656.833137,0.965793727673503
656.961139,0.9653109515137641
657.089142,0.9660342402542674
657.217144,0.9658594038799505
657.345147,0.9652124948180865
657.473149,0.9655918978763678
657.601152,0.9652597913890891
657.729155,0.9660052596617709
657.857157,0.965378525645437
657.98516,0.9657174329826969
658.113162,0.9650185066030967
658.241165,0.9651816085124358
658.369167,0.9651603747506208
658.49717,0.965240486386312
658.625173,0.9648911325670965
658.753175,0.9645428697334634
658.881178,0.9655532749729159
659.00918,0.965428726633985
659.137183,0.9644039855601223
659.265185,0.9644714962019564
659.393188,0.9654094182525368
659.52119,0.9648313111713598
659.649193,0.9651015017634054
659.777196,0.9654760338006062
659.905198,0.9651690612330827
660.033201,0.9641966609914167
660.161203,0.9641590580549
660.289206,0.9648158739938788
660.417208,0.9647521982475179
660.545211,0.9650204366420401
660.673213,0.9647338681298879
660.801216,0.9651372111795907
660.929219,0.9645303307576604
661.057221,0.9655532749729159
661.185224,0.9641002461461401
661.313226,0.9639749212604352
661.441229,0.9642361938649356
661.569231,0.9633456511159149
661.697234,0.964613283933041
661.825237,0.963373588544888
661.953239,0.9639566059109276
662.081242,0.9641744847232419
662.209244,0.9642766926355462
662.337247,0.9640308334273054
662.465249,0.9635248500720086
662.593252,0.9645525152103881
662.721254,0.9634275389764444
662.849257,0.9633629914936979
662.97726,0.9641619505364128
663.105262,0.9639488942889268
663.233265,0.9638621427923167
663.361267,0.963920940176329
663.48927,0.9640019129361121
663.617272,0.9632907419787264
663.745275,0.9629594269529375
663.873277,0.9640636110328581
664.00128,0.9631058079105053
664.129283,0.9636684259708083
664.257285,0.9634313926943078
