nu,[0]Chloroethane-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
611.694764,0.9971100838702521
611.813966,0.9969974167965844
611.933168,0.9980595850440072
612.05237,0.9982903630969843
612.171572,0.9984776599369956
612.290774,0.9984682742911047
612.409976,0.9983459694188305
612.529178,0.9981204685356224
612.64838,0.9980012002660535
612.767582,0.9979256544346391
612.886784,0.9984170541824406
613.005986,0.9985041199455774
613.125188,0.9980467101584033
613.24439,0.9980653738063878
613.363592,0.9985400667409339
613.482794,0.9986815698936528
613.601996,0.9987526785528674
613.721198,0.9975592834041686
613.8404,0.9984989277376535
613.959602,0.9974200338480506
614.078804,0.9983856045405683
614.198006,0.9987756501286462
614.317208,0.9986176563184357
614.43641,0.9983365850108247
614.555612,0.9982802804152346
614.674814,0.998917786016388
614.794016,0.9982439436743602
614.913218,0.9977839590523196
615.03242,0.9980102821182982
615.151622,0.9981342426931297
615.270824,0.9977439487177743
615.390026,0.9973044395649456
615.509228,0.9971745989797198
615.62843,0.9978754600366208
615.747632,0.9966949736632716
615.866834,0.9975586848687781
615.986036,0.9978700715236856
616.105238,0.9980594852380537
616.22444,0.9980730589393538
616.343642,0.9979001078648831
616.462844,0.9981006061359301
616.582046,0.9973050379477889
616.701248,0.997679097468796
616.82045,0.9978715683299154
616.939652,0.9979255546420787
617.058854,0.9969987128940686
617.178056,0.996521663477109
617.297258,0.9979430184920932
617.41646,0.9982134976983816
617.535662,0.997986729353564
617.654864,0.9981383350519141
617.774066,0.9979012055556055
617.893268,0.9969788728170915
618.01247,0.9973921064780878
618.131672,0.9982188880658232
618.250874,0.9969199531068026
618.370076,0.9980587865966585
618.489278,0.997612853776039
618.60848,0.998188442854029
618.727682,0.997449258683184
618.846884,0.9968646255847581
618.966086,0.997455941615605
619.085288,0.9974374888513737
619.20449,0.997434895517274
619.323692,0.9972962617020705
619.442894,0.9966128493810087
619.562096,0.9969278288055411
619.681298,0.9970886462339044
619.8005,0.9973858229276102
619.919702,0.9970312155818999
620.038904,0.9969387950719723
620.158106,0.9972676397100873
620.277308,0.9967728185805191
620.39651,0.9968312311791604
620.515712,0.9967380318161833
620.634914,0.9966848074263881
620.754116,0.9975266637489355
620.873318,0.9963314456484207
620.99252,0.996657897299876
621.111722,0.9965546488900757
621.230924,0.9974272152981475
621.350126,0.9972747203354654
621.469328,0.9966566016454517
621.58853,0.9968173753213454
621.707732,0.9968086033670392
621.826934,0.9968753917808517
621.946136,0.9970809686808869
622.065338,0.996521663477109
622.18454,0.9965010356921733
622.303742,0.996133992324164
622.422944,0.9959281127063421
622.542146,0.9958818031258073
622.661348,0.9958763257909528
622.78055,0.9956316690350192
622.899752,0.996229725400727
623.018954,0.9965699959498406
623.138156,0.996409062891189
623.257358,0.9973231890646542
623.37656,0.9953715444666553
623.495762,0.9964176320459772
623.614964,0.9966209219777826
623.734166,0.9958995299796715
623.853368,0.9963605389513938
623.97257,0.9963967074954128
624.091772,0.9960413561705257
624.210974,0.995991356149457
624.330176,0.9961752331251249
624.449378,0.9956492918715228
624.56858,0.9960365751834905
624.687782,0.9957623044794944
624.806984,0.9966025843215252
624.926186,0.9954489873853053
625.045388,0.9960465355990443
625.16459,0.996630190595456
625.283792,0.9961912716754882
625.402994,0.9954644169641886
625.522196,0.9956360498240007
625.641398,0.9955857714730236
625.7606,0.995722375211672
625.879802,0.9960660583024639
625.999004,0.9952942071022458
626.118206,0.9949695950789884
626.237408,0.9953958318286449
626.35661,0.9957188901894575
626.475812,0.9956030948161599
626.595014,0.9949393484630489
626.714216,0.9953277490822043
626.833418,0.9952596709924643
626.95262,0.9946258924619347
627.071822,0.9948758733574944
627.191024,0.9951608466138463
627.310226,0.9950673058907475
627.429428,0.9954110615013786
627.54863,0.9948181722301884
627.667832,0.9950344692114613
627.787034,0.9948178737847816
627.906236,0.9952085159600709
628.025438,0.9950821325040633
628.14464,0.9937735650866589
628.263842,0.994664186295946
628.383044,0.9946762218054149
628.502246,0.9960268140728832
628.621448,0.9947373962741516
628.74065,0.9951334800668562
628.859852,0.9954598378384026
628.979054,0.9949066154969447
629.098256,0.9947141196914159
629.217458,0.9939241331870152
629.33666,0.9952522065729235
629.455862,0.9937686956081202
629.575064,0.9946028174089012
629.694266,0.9939080317464796
629.813468,0.994268985279955
629.93267,0.994005439506493
630.051872,0.9944686545383219
630.171074,0.9937460379401588
630.290276,0.9935695643151423
630.409478,0.9937373923872369
630.52868,0.993850088597288
630.647882,0.9934720999215897
630.767084,0.9938504861374029
630.886286,0.9939902313396113
631.005488,0.994402822892443
631.12469,0.9936136797831541
631.243892,0.99407532054518
631.363094,0.9936975443167613
631.482296,0.9943480328063823
631.601498,0.9930953474097203
631.7207,0.9935665836109204
631.839902,0.9935957948978824
631.959104,0.9931579143874462
632.078306,0.9928238722540832
632.197508,0.9932300202694425
632.31671,0.9931333836899161
632.435912,0.9932890198849178
632.555114,0.9925573348286336
632.674316,0.9926460734209233
632.793518,0.9926418050519845
632.91272,0.992682603468574
633.031922,0.9925336129918083
633.151124,0.9928290349516419
633.270326,0.9927250911932332
633.389528,0.9915186711343946
633.50873,0.9931551335491791
633.627932,0.992819007429028
633.747134,0.9918817325742385
633.866336,0.9925645805236246
633.985538,0.9919972935273782
634.10474,0.992416004727096
634.223942,0.9918806415049327
634.343144,0.991660964272991
634.462346,0.9913668812456564
634.581548,0.9922601084187291
634.70075,0.9918198410851604
634.819952,0.9915433602566842
634.939154,0.9912992723298457
635.058356,0.9914256710448146
635.177558,0.9911476151432499
635.29676,0.9909068946242222
635.415962,0.9904920887531121
635.535164,0.9910286845654102
635.654366,0.9913273264962172
635.773568,0.9906218517160272
635.89277,0.9903397627840291
636.011972,0.9903609562817224
636.131174,0.9897686995193336
636.250376,0.9898666914711075
636.369578,0.9899894425512596
636.48878,0.9899993424951847
636.607982,0.989721191761952
636.727184,0.9897875053032787
636.846386,0.9893827649886462
636.965588,0.98894357654804
637.08479,0.9891423741854194
637.203992,0.9896222245912167
637.323194,0.9892106273639458
637.442396,0.9884858016551638
637.561598,0.9885144681590741
637.6808,0.9887804143191636
637.800002,0.9889129197723495
637.919204,0.9873487090198054
638.038406,0.987666686495736
638.157608,0.9876577975355579
638.27681,0.9874454739346927
638.396012,0.9870930188174798
638.515214,0.9869992494348083
638.634416,0.9869459529143578
638.753618,0.986804829733639
638.87282,0.9866232743485757
638.992022,0.9865690115607268
639.111224,0.9862760440721189
