nu,[0]Brominenitrate-HITRAN(x-sec)-X=0.01-T=204.0K-P=0.0atm-L=15cm
1281.972072,0.9995072014651049
1282.091274,0.9994566876476377
1282.210476,0.9994258748729389
1282.329678,0.9994957571731667
1282.44888,0.9994871615466163
1282.568082,0.9995078111646837
1282.687284,0.9995345083748596
1282.806486,0.9995370471957351
1282.925688,0.9996486817267222
1283.04489,0.9996449330511944
1283.164092,0.9995634853002758
1283.283294,0.9995251727661487
1283.402496,0.9994200282486723
1283.521698,0.9993801421912765
1283.6409,0.9993939137445217
1283.760102,0.9993417567372123
1283.879304,0.9992815681958
1283.998506,0.9993063306998662
1284.117708,0.9992367614148577
1284.23691,0.9991412189636887
1284.356112,0.9990247158989884
1284.475314,0.9989122919836736
1284.594516,0.9989462555789789
1284.713718,0.99901593451033
1284.83292,0.9990053549876022
1284.952122,0.9990974875096045
1285.071324,0.9993452244591247
1285.190526,0.9998719481993318
1285.309728,0.9998914258945949
1285.42893,0.999858619995095
1285.548132,0.9998083783617718
1285.667334,0.9998065687102448
1285.786536,0.9998332439053434
1285.905738,0.9998237155399318
1286.02494,0.9997447925709576
1286.144142,0.9997453424307448
1286.263344,0.9997136909942482
1286.382546,0.9996427038454793
1286.501748,0.999587465115925
1286.62095,0.9995813876426126
1286.740152,0.9995125688331881
1286.859354,0.999455958044522
1286.978556,0.9995006747043892
1287.097758,0.9994719594625013
1287.21696,0.9993883371420417
1287.336162,0.9993208307399222
1287.455364,0.9992869643308379
1287.574566,0.9992200443236782
1287.693768,0.9992717852771349
1287.81297,0.9993210006244778
1287.932172,0.9991888491608534
1288.051374,0.9990709618234411
1288.170576,0.9991987311874381
1288.289778,0.9993038024580477
1288.40898,0.9991341850342665
1288.528182,0.9991014339524743
1288.647384,0.9990603517461661
1288.766586,0.9991127638269757
1288.885788,0.9991758897655216
1289.00499,0.9990177127602761
1289.124192,0.9990362547010936
1289.243394,0.9991178593150646
1289.362596,0.9991806258704636
1289.481798,0.9991676066317291
1289.601,0.9989795210431566
1289.720202,0.9991655483485795
