nu,[0]DL-Limonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
680.46568,0.996944178556001
680.585282,0.9994527098179368
680.704884,0.9988693396785995
680.824486,0.9997711861818757
680.944088,0.9972112956801774
681.06369,0.9976483694258083
681.183292,0.9973411410436247
681.302894,0.9978157888682962
681.422496,0.9982052125607341
681.542098,1.0
681.6617,0.9990975974103341
681.781302,0.9981180730493726
681.900904,0.9986178560419869
682.020506,0.9975848212487067
682.140108,0.998725912339751
682.25971,0.9985288831548146
682.379312,0.9993663108658215
682.498914,1.0
682.618516,0.9992249505061405
682.738118,0.9971469776258856
682.85772,0.9975017258940663
682.977322,0.997916373769208
683.096924,0.998010182317275
683.216526,0.9997147606884699
683.336128,1.0
683.45573,1.0
683.575332,0.9971878614900818
683.694934,0.9978558020836895
683.814536,0.9984736660343436
683.934138,0.9987528783034231
684.05374,0.9990817418572774
684.173342,1.0
684.292944,0.999969877453693
684.412546,0.9992006496508438
684.532148,0.998500725037341
684.65175,0.9988196971060456
684.771352,0.9990018185149051
684.890954,0.9999246258407747
685.010556,1.0
685.130158,0.9998798772153196
685.24976,0.9997454524027385
685.369362,0.9983251042061119
685.488964,0.9986195536937853
685.608566,0.9996790915021506
685.728168,1.0
685.84777,1.0
685.967372,0.9998728580832187
686.086974,1.0
686.206576,0.999016503949575
686.326178,0.998362741772004
686.44578,0.9992677782053101
686.565382,0.9993311038108657
686.684984,1.0
686.804586,1.0
686.924188,0.9993973716534453
687.04379,0.9991594134909466
687.163392,0.9971980328581428
687.282994,0.9991854219489784
687.402596,0.9996047381365606
687.522198,1.0
687.6418,1.0
687.761402,0.9993016839362321
687.881004,0.9988009194722502
688.000606,0.9989386636162859
688.120208,0.9991152516208549
688.23981,0.9996725136353697
688.359412,1.0
688.479014,1.0
688.598616,1.0
688.718218,0.9999635436645483
688.83782,0.9988831241705998
688.957422,0.9996237507994898
689.077024,1.0
689.196626,1.0
689.316228,1.0
689.43583,1.0
689.555432,0.9987260122123472
689.675034,0.9985970850066008
689.794636,0.9993898861951648
689.914238,0.9999962120071745
690.03384,1.0
690.153442,1.0
690.273044,1.0
690.392646,0.9992077639847963
