nu,[0]Cyanogen-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
666.78554,0.9999439405713885
666.904742,0.9999740943355575
667.023944,0.9999548890175309
667.143146,0.9999221180329578
667.262348,0.9999081442190006
667.38155,0.9999272096493461
667.500752,0.9999251887984975
667.619954,0.9999300604458846
667.739156,0.9999312803613025
667.858358,0.9999590088401605
667.97756,1.0000256043277853
668.096762,0.999991265838143
668.215964,0.9999943529159449
668.335166,0.9999833481386438
668.454368,0.9999286995419985
668.57357,0.9999482333399398
668.692772,0.9999811711772645
668.811974,0.9999679275143332
668.931176,1.0000004058000824
669.050378,0.9999338571875322
669.16958,0.9999624647044668
669.288782,0.9999671175406399
669.407984,0.99995363607484
669.527186,0.9999769302661105
669.646388,0.9999364220211654
669.76559,0.9999512951861179
669.884792,0.9999244588533761
670.003994,0.9999325302761842
670.123196,0.9999356340715753
670.242398,0.9999318153246807
670.3616,0.9999503892306549
670.480802,0.9999096960776447
670.600004,0.9999674245305922
670.719206,0.9999531420978658
670.838408,0.9999282185764097
670.95761,0.9999215530771208
671.076812,0.9999650536106393
671.196014,0.9999555209892206
671.315216,0.9999888530621276
671.434418,0.9999614537429261
671.55362,0.9999087761611475
671.672822,0.9999235609216153
671.792024,0.9999110029604715
671.911226,0.9999204061677571
672.030428,0.9999191882654441
672.14963,0.9999200381971154
672.268832,0.9999038706207249
672.388034,0.9998944355723164
672.507236,0.9999314723481268
672.626438,0.9999309433845178
672.74564,0.9999128777953598
672.864842,0.999956897928921
672.984044,0.9999387788740897
673.103246,0.9999270926578695
673.222448,0.9999388678686449
673.34165,0.9998780174404774
673.460852,0.9998718782082978
673.580054,0.9999040186065087
673.699256,0.9999238638985001
