nu,[0]HFC-1234yf-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
842.8024,1.0
842.921402,1.0
843.040404,1.0
843.159406,1.0
843.278408,1.0
843.39741,1.0
843.516412,1.0
843.635414,1.0
843.754416,1.0
843.873418,1.0
843.99242,1.0
844.111422,1.0
844.230424,1.0
844.349426,1.0
844.468428,1.0
844.58743,1.0
844.706432,1.0
844.825434,1.0
844.944436,1.0
845.063438,1.0
845.18244,1.0
845.301442,1.0
845.420444,1.0
845.539446,1.0
845.658448,1.0
845.77745,1.0
845.896452,1.0
846.015454,1.0
846.134456,1.0
846.253458,1.0
846.37246,1.0
846.491462,1.0
846.610464,1.0
846.729466,1.0
846.848468,1.0
846.96747,1.0
847.086472,1.0
847.205474,1.0
847.324476,1.0
847.443478,1.0
847.56248,1.0
847.681482,1.0
847.800484,1.0
847.919486,1.0
848.038488,1.0
848.15749,1.0
848.276492,1.0
848.395494,1.0
848.514496,1.0
848.633498,1.0
848.7525,1.0
848.871502,1.0
848.990504,1.0
849.109506,1.0
849.228508,1.0
849.34751,1.0
849.466512,1.0
849.585514,1.0
849.704516,1.0
849.823518,1.0
849.94252,1.0
850.061522,1.0
850.180524,1.0
850.299526,1.0
850.418528,1.0
850.53753,1.0
850.656532,1.0
850.775534,1.0
850.894536,1.0
851.013538,1.0
851.13254,1.0
851.251542,1.0
851.370544,1.0
851.489546,1.0
851.608548,1.0
851.72755,1.0
851.846552,1.0
851.965554,1.0
852.084556,1.0
852.203558,1.0
852.32256,1.0
852.441562,1.0
852.560564,1.0
852.679566,1.0
852.798568,1.0
852.91757,1.0
853.036572,1.0
853.155574,1.0
853.274576,1.0
853.393578,1.0
853.51258,1.0
853.631582,1.0
853.750584,1.0
853.869586,1.0
853.988588,1.0
854.10759,1.0
854.226592,1.0
854.345594,1.0
854.464596,1.0
854.583598,1.0
854.7026,1.0
854.821602,1.0
854.940604,1.0
855.059606,1.0
855.178608,1.0
855.29761,1.0
855.416612,1.0
855.535614,1.0
855.654616,1.0
855.773618,1.0
855.89262,1.0
856.011622,1.0
856.130624,1.0
856.249626,1.0
856.368628,1.0
856.48763,1.0
856.606632,1.0
856.725634,1.0
856.844636,1.0
856.963638,1.0
857.08264,1.0
857.201642,1.0
857.320644,1.0
857.439646,1.0
857.558648,1.0
857.67765,1.0
857.796652,1.0
857.915654,1.0
858.034656,1.0
858.153658,1.0
858.27266,1.0
858.391662,1.0
858.510664,1.0
858.629666,1.0
858.748668,1.0
858.86767,1.0
858.986672,1.0
859.105674,1.0
859.224676,1.0
859.343678,1.0
859.46268,1.0
859.581682,1.0
859.700684,1.0
859.819686,1.0
859.938688,1.0
860.05769,1.0
860.176692,1.0
860.295694,1.0
860.414696,1.0
860.533698,1.0
860.6527,1.0
860.771702,1.0
860.890704,1.0
861.009706,1.0
861.128708,1.0
861.24771,1.0
861.366712,1.0
861.485714,1.0
861.604716,1.0
861.723718,1.0
861.84272,1.0
861.961722,1.0
862.080724,1.0
862.199726,1.0
862.318728,1.0
862.43773,1.0
862.556732,1.0
862.675734,1.0
862.794736,1.0
862.913738,1.0
863.03274,1.0
863.151742,0.9818291180260457
863.270744,0.9975609792563919
863.389746,0.9890404977676039
863.508748,0.9792845744379918
863.62775,0.9782959963337894
863.746752,0.9774188582803077
863.865754,0.9865502669275817
863.984756,0.9850666254960734
864.103758,0.9814943713743467
864.22276,0.9815925257191195
864.341762,0.9654808611928436
864.460764,0.9802604277684187
864.579766,0.9746264593581492
864.698768,0.9671883740178733
864.81777,0.9684068310385102
864.936772,0.9556189817782511
865.055774,0.9897974032278214
865.174776,0.979035867743172
865.293778,0.9712105460042662
865.41278,0.9713814941033544
865.531782,0.9811626823354275
865.650784,0.9804290470628385
865.769786,0.9744110907097432
865.888788,0.979123984936483
866.00779,0.9709357323077191
866.126792,0.9596371833171122
866.245794,0.9705649056903709
866.364796,0.9759967719527257
866.483798,0.9709570931287981
866.6028,0.9835104656296815
866.721802,0.9603706262646968
866.840804,0.9438368086250382
866.959806,0.9547354429198264
867.078808,0.968221882996882
867.19781,0.9664700199575587
867.316812,0.9733291211333559
867.435814,0.9367873220890632
867.554816,0.9300201745552178
867.673818,0.976754439384704
867.79282,0.9560022618324591
867.911822,0.9598713633586449
868.030824,0.957047743556322
868.149826,0.9396667385851235
868.268828,0.9499993296684095
868.38783,0.9380519009532318
868.506832,0.9393566997206166
868.625834,0.9460262139572165
868.744836,0.9428953293663236
868.863838,0.9381672884332336
868.98284,0.9405447973085542
869.101842,0.9414340322393399
869.220844,0.9481875108793381
869.339846,0.9505219730134721
869.458848,0.9277908024529066
869.57785,0.9313631623997946
869.696852,0.9172557014114217
869.815854,0.9299522855604537
869.934856,0.9118114989672171
870.053858,0.8983280190849745
870.17286,0.9236057277248197
870.291862,0.903553460727785
870.410864,0.9167238473571884
870.529866,0.901594875551487
870.648868,0.9107343744814154
870.76787,0.8986964090875893
870.886872,0.9073091844688725
871.005874,0.9021630592821669
871.124876,0.9081570071187103
871.243878,0.9048618489760627
871.36288,0.8810067423592883
871.481882,0.8910363994400741
871.600884,0.8757890741258284
871.719886,0.8761745061072614
871.838888,0.8780515272466163
871.95789,0.8884472525535193
872.076892,0.8724150443664451
872.195894,0.8717435433433546
872.314896,0.8654289491451855
872.433898,0.8616811261644697
872.5529,0.8580782355726877
872.671902,0.8573148856841158
872.790904,0.842880573046724
872.909906,0.8581468845774571
873.028908,0.8514027462701248
873.14791,0.8535083103545701
873.266912,0.8441542841218705
873.385914,0.8268102946951867
873.504916,0.83417672382507
873.623918,0.8451763290181222
873.74292,0.8376206214849019
873.861922,0.8330346841892048
873.980924,0.8119146948034236
874.099926,0.8151117977463737
874.218928,0.8101385472132969
874.33793,0.8080106822031333
874.456932,0.8051312269534856
874.575934,0.8021577457462368
874.694936,0.8178306444001299
874.813938,0.7947799461013949
874.93294,0.785448803788985
875.051942,0.7894095642336652
875.170944,0.7889123928336329
875.289946,0.7708665556274826
