nu,[0]3-Pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
627.98356,0.9987524788023516
628.117162,0.9997847431710765
628.250765,0.9974019807088192
628.384368,0.9998497212929763
628.51797,0.9982960533682712
628.651573,0.9990810924543562
628.785176,0.999498036026091
628.918778,0.996245764828423
629.052381,0.9995828070491908
629.185984,0.998913290896465
629.319586,0.9977545248596841
629.453189,0.9995824571952696
629.586792,0.9968983201785383
629.720394,0.9989968035383637
629.853997,0.9987752506184661
629.9876,0.998257020755677
630.121202,0.9998140672876297
630.254805,0.9974110571081413
630.388408,0.9998473616504184
630.52201,0.9991465244176473
630.655613,0.9980536965098266
630.789216,0.9998726781061203
630.922818,0.9988022179142896
631.056421,0.9988865203789955
631.190024,0.9987139277007109
631.323626,0.9975379358639233
631.457229,1.0
631.590832,0.9984963316438162
631.724434,0.9992040069706668
631.858037,0.9991307979751204
631.99164,0.9972024205391403
632.125243,1.0
632.258845,0.9989566446740601
632.392448,0.9992974668920239
632.526051,0.9985735183934817
632.659653,0.9987643640275663
632.793256,0.9995990204138112
632.926859,0.9971710091576251
633.060461,0.9989843161563658
633.194064,0.9983373836804121
633.327667,0.9977806663706877
633.461269,0.9992314654740565
633.594872,0.9972375226821374
633.728475,0.9997261075153968
633.862077,0.9990631291378046
633.99568,0.9978113984884841
634.129283,1.0
634.262885,0.9980139747631736
634.396488,0.9994639637188086
634.530091,0.9988035163580169
634.663693,0.9968240540201337
634.797296,0.9998551404931517
634.930899,0.997454146196526
635.064501,0.9997735556423947
635.198104,0.9999083591992747
635.331707,0.9978759589744756
635.465309,1.0
635.598912,0.9976595431501186
635.732515,0.9987157253873987
635.866117,0.9993839198553537
635.99972,0.9986491132700541
636.133323,0.9995247229799221
636.266925,0.9965012349924004
636.400528,0.99841206210965
636.534131,1.0
636.667733,0.9981049977882588
636.801336,1.0
636.934939,0.9971248412086975
637.068541,0.9996233909350043
637.202144,1.0
637.335747,0.9986092679653538
637.469349,1.0
637.602952,0.9969097845751405
637.736555,0.99923084595074
637.870157,0.9994684713114497
638.00376,0.9970556431459181
638.137363,1.0
638.270965,0.9988982074196531
638.404568,0.9985063166570577
638.538171,0.9994703503139419
638.671773,0.9974970376469721
638.805376,1.0
638.938979,0.9984323300802299
639.072581,0.9992440658622814
639.206184,0.9999754893003922
639.339787,0.9974227268857775
639.473389,0.9998535707218135
639.606992,0.9988549560636704
639.740595,0.9987093336272098
639.874197,0.9997877325319275
640.0078,0.9985493532067367
640.141403,0.9998074885327111
640.275006,0.9993434056524713
640.408608,0.9980215596982044
640.542211,0.9998039092283091
640.675814,0.9988066126537168
640.809416,0.9996772221039973
640.943019,0.9991965329526475
641.076622,0.998569324393512
641.210224,0.9998455019360553
641.343827,0.9982108025255764
641.47743,0.9994966867046532
641.611032,0.9990838898853315
641.744635,0.9991117946880648
641.878238,0.9999476613697139
642.01184,0.9982650068437874
642.145443,0.9993321331224326
642.279046,0.9987336025588833
642.412648,1.0
642.546251,1.0
642.679854,0.9977540259825464
642.813456,0.9996100760401144
642.947059,0.9990565852957398
643.080662,0.9985375703938875
643.214264,0.9999088871510278
643.347867,0.998097112789922
643.48147,0.99989199583287
643.615072,0.9990608213046418
643.748675,0.9978197801394343
643.882278,0.9999772292592572
644.01588,0.998568026254234
644.149483,1.0
644.283086,0.9996282591127722
644.416688,0.9989956047429188
644.550291,0.9998547105555338
644.683894,0.9986131625490933
644.817496,0.9995933127197001
644.951099,0.998729607632463
645.084702,0.998490041136742
645.218304,0.9998567802569267
645.351907,0.9985153032543472
645.48551,0.9992012691554385
645.619112,0.9994045073761535
645.752715,0.999080532969101
645.886318,1.0
646.01992,0.9988823250644201
646.153523,0.9996445431897466
646.287126,0.9987591704663766
646.420728,0.99924477532582
646.554331,0.9996916775411415
646.687934,0.9984195502281962
646.821536,1.0
646.955139,0.9993691990386333
647.088742,0.9984823527930254
647.222344,0.9996256200976517
647.355947,0.9979083904701511
