nu,[0]2-Nonanone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
616.641333,0.9881122246326435
616.760335,0.9889514881282987
616.879338,0.9891601789083968
616.99834,0.9882041233427581
617.117342,0.9906835693798745
617.236345,0.9901328034016161
617.355347,0.9908998592102461
617.474349,0.9911575266689588
617.593352,0.9903727416472249
617.712354,0.9904235490720708
617.831357,0.991585105110874
617.950359,0.9904423672982756
618.069361,0.9899874625743545
618.188364,0.9923873243189933
618.307366,0.9918610024626581
618.426369,0.991972196313333
618.545371,0.9914823822151224
618.664373,0.9911189713910765
618.783376,0.9921310237757619
618.902378,0.9920321132434634
619.02138,0.991921607021359
619.140383,0.9923617210563094
619.259385,0.9919477940974523
619.378388,0.9932462100507192
619.49739,0.9915364194774552
619.616392,0.9934128907488853
619.735395,0.9927669850760362
619.854397,0.9936098046973594
619.973399,0.9926292978440365
620.092402,0.9923538814296796
620.211404,0.9926472645969261
620.330407,0.9933017340657428
620.449409,0.992965161143571
620.568411,0.99344229620565
620.687414,0.9939577283904726
620.806416,0.9945401594051523
620.925419,0.9935788045550575
621.044421,0.9937752545031556
621.163423,0.9927206239403742
621.282426,0.9934550123484246
621.401428,0.993581089788936
621.52043,0.9945635313735178
621.639433,0.9947526158727442
621.758435,0.9955606830276983
621.877438,0.9952161790951468
621.99644,0.9940426160051268
622.115442,0.9953311332023042
622.234445,0.9956498892612772
622.353447,0.995182342320286
622.472449,0.9952457374546054
622.591452,0.9947815635950534
622.710454,0.9943469390241477
622.829457,0.9944341470747173
622.948459,0.9957570269532661
623.067461,0.9951445261097903
623.186464,0.9954572496461889
623.305466,0.9957354192602256
623.424468,0.9962648929307368
623.543471,0.9961050052467514
623.662473,0.9956072763579394
623.781476,0.9947957890731247
623.900478,0.9954419197225851
624.01948,0.9957689761092844
624.138483,0.9954150431535879
624.257485,0.9959108832990271
624.376488,0.9962016321185878
624.49549,0.9948741820699473
624.614492,0.9970420832813787
624.733495,0.9961516240518684
624.852497,0.9958369894529818
624.971499,0.9950743708937001
625.090502,0.9962549303316206
625.209504,0.9955989132919429
625.328507,0.9964346709331673
625.447509,0.9971122775148497
625.566511,0.9968826689977736
625.685514,0.9971073916766602
625.804516,0.9967443112855641
625.923518,0.9962513438203272
626.042521,0.9962513438203272
626.161523,0.9964564930914125
626.280526,0.9971735020882643
626.399528,0.9959909577529942
626.51853,0.9955794993024207
626.637533,0.9952032413689139
626.756535,0.9975336464600213
626.875538,0.9964073689972219
626.99454,0.9968538595049387
627.113542,0.9977343704218424
627.232545,0.9971360090694589
627.351547,0.9966024846612718
627.470549,0.9979274507024337
627.589552,0.9964238098544471
627.708554,0.9969394929293731
627.827557,0.9970953267502138
627.946559,0.9980655734194825
628.065561,0.998121766093075
628.184564,0.9984229448604378
628.303566,0.9977815643736916
628.422568,0.9970508572903171
628.541571,0.9975128979759599
628.660573,0.9975845219733053
628.779576,0.9981243612130405
628.898578,0.9983281990187318
629.01758,0.9972403149511101
629.136583,0.9973811352252585
629.255585,0.9977840588307205
629.374587,0.9975026236460236
629.49359,0.997106893123089
629.612592,0.998693154667055
629.731595,0.9978983116463056
629.850597,0.9971309236887803
629.969599,0.9980463109397991
630.088602,0.9986411241091047
630.207604,0.9979336378718083
630.326607,0.9977630058091894
630.445609,0.998753777181418
630.564611,0.9987431904474897
630.683614,0.9977795688125584
630.802616,0.9983774178121767
630.921618,0.9987651630393771
631.040621,0.998974126568308
631.159623,0.9990645677897464
631.278626,0.9992929200988935
631.397628,0.998669985254633
631.51663,0.998028745479303
631.635633,0.9977487379002221
631.754635,0.998068966848201
631.873637,0.9979891245245887
631.99264,0.9980993086059855
632.111642,0.99760477314465
632.230645,0.9980254519898772
