nu,[0]Propionaldehyde-PNNL(x-sec)-X=0.01-T=278.28K-P=1.0atm-L=15cm
592.837857,1.0019657295180757
592.957459,1.002585436491305
593.077062,1.00186002770948
593.196664,1.0017313971401816
593.316266,1.0023906530648174
593.435869,1.0038492895580888
593.555471,1.001659275076013
593.675074,1.0037939789860544
593.794676,1.0034460239350336
593.914278,1.0018162473828762
594.033881,1.0033417713091644
594.153483,1.0032371282196488
594.273085,1.0029446269218218
594.392688,1.0030516468229245
594.51229,1.003173324367278
594.631893,1.0044378180781344
594.751495,1.003172120560011
594.871097,1.0031853625193992
594.9907,1.0024324536265858
595.110302,1.0033913376169448
595.229905,1.0034672972162368
595.349507,1.0021817766184005
595.469109,1.0045403764148741
595.588712,1.0005695221161708
595.708314,1.0033743804466275
595.827917,1.0027291172788368
595.947519,1.0033573232271467
596.067121,1.0028054278682428
596.186724,1.0025615752418666
596.306326,1.002338129170735
596.425929,1.0014656730503793
596.545531,1.0032014136136078
596.665133,1.003191582287928
596.784736,1.004342401017799
596.904338,1.0030048054047735
597.02394,1.0025766137782839
597.143543,1.0044865344936746
597.263145,1.0024440819104918
597.382748,1.0025683926837574
597.50235,1.0019173357420592
597.621952,1.0033791966552126
597.741555,1.0035300158822509
597.861157,1.0029688984754779
597.98076,1.0024715492546372
598.100362,1.0024621260663633
598.219964,1.0035883226699693
598.339567,1.0034074923475256
598.459169,1.004145067124689
598.578772,1.0029492404777167
598.698374,1.0037494115227925
598.817976,1.0034950936453486
598.937579,1.0031135370188264
599.057181,1.001454656988564
599.176784,1.0034470273815592
599.296386,1.0033072569458819
599.415988,1.0030292790206023
599.535591,1.0022788927377548
599.655193,1.003143931819477
599.774795,1.0017019466700297
599.894398,1.0026811879725503
600.014,1.0034108035977138
600.133603,1.0025562616795987
600.253205,1.0027621076094833
600.372807,1.001892388310996
600.49241,1.002041280582321
600.612012,1.0018473041679228
600.731615,1.0010271271341498
600.851217,1.0020815634514804
600.970819,1.0018748553476144
601.090422,1.0031459381093468
601.210024,1.003829915453761
601.329627,1.0018919875541208
601.449229,1.0023832354014302
601.568831,1.0026531132923346
601.688434,1.002488892162455
601.808036,1.0029071174942055
601.927639,1.0019397789417428
602.047241,1.0017465233984812
602.166843,1.0012053258219924
602.286446,1.0016276231430237
602.406048,1.001338294718201
602.525651,1.002451500024145
602.645253,1.002031360422748
602.764855,1.0026035834519351
602.884458,1.0026964288424378
603.00406,1.0015952710932845
603.123662,1.0028664002918002
603.243265,1.0029407154454042
603.362867,1.0007940951267191
603.48247,1.002418319428636
603.602072,1.0022805966133208
603.721674,1.0013961737443233
603.841277,1.002851758549241
603.960879,1.0021425920769975
604.080482,1.0024838797305253
604.200084,1.0033792969931372
604.319686,1.0014264163654318
604.439289,1.0012139362248191
604.558891,1.0029157425325037
604.678494,1.0011962148949822
604.798096,1.0020812628270566
604.917698,1.00251656123771
605.037301,1.0029604735721154
605.156903,1.0023487540112157
605.276506,1.0023112668688297
605.396108,1.0019452896256813
605.51571,1.0022893164924427
605.635313,1.0019641263741912
605.754915,1.000607994753928
605.874517,1.0031807478773453
605.99412,1.0026822909224637
606.113722,1.0016359366867968
606.233325,1.0022159515996631
606.352927,1.001241169614257
606.472529,1.002646195009721
606.592132,1.0025590688410615
606.711734,1.0010057053828427
606.831337,1.0008088269242252
606.950939,0.999833253903676
607.070541,1.0014650721711558
607.190144,1.0015182513783834
607.309746,1.002303649332148
607.429349,1.0023081597087184
607.548951,1.0011748896427197
607.668553,1.002231486067305
607.788156,1.0024040851895635
607.907758,1.0019495979996897
608.027361,1.0003559833470386
608.146963,1.0011597720160246
