nu,[0]Dimethylsulfoxide-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
657.166574,0.8149243435909462
657.286176,0.8118659813831526
657.405778,0.8099765357055452
657.52538,0.8073726058375426
657.644982,0.8064930491426618
657.764584,0.8062672627004789
657.884186,0.8065414401773269
658.003788,0.8061382702581174
658.12339,0.8050024162623031
658.242992,0.8041656489438165
658.362594,0.8032654876014481
658.482196,0.8039244354329691
658.601798,0.8030165138932103
658.7214,0.8028719839287964
658.841002,0.8055580596044319
658.960604,0.8095473618827305
659.080206,0.8108517829125248
659.199808,0.8105923518531761
659.31941,0.8092802553283146
659.439012,0.8103573141532524
659.558614,0.8116062258322146
659.678216,0.8131172181995452
659.797818,0.8135482845476826
659.91742,0.8131090870680189
660.037022,0.8135808271299119
660.156624,0.8125726121267586
660.276226,0.8125157340346663
660.395828,0.8120202505747245
660.51543,0.8121907927336451
660.635032,0.8114358064194546
660.754634,0.8114763792240872
660.874236,0.8100575374091333
660.993838,0.8100980412985926
661.11344,0.8092236076931321
661.233042,0.8096849966328729
661.352644,0.8085118041578526
661.472246,0.8079864422462684
661.591848,0.8070577919139713
661.71145,0.8056627889594411
661.831052,0.8055822267087248
661.950654,0.8036350747242659
662.070256,0.8041736906405144
662.189858,0.802406453195081
662.30946,0.8010675527113207
662.429062,0.7989794925026559
662.548664,0.7986280188558275
662.668266,0.7978696825047145
662.787868,0.7966339424427856
662.90747,0.794867376704061
663.027072,0.7937950297425723
663.146674,0.7920109987131976
663.266276,0.7904048471811805
663.385878,0.7888177290264349
663.50548,0.7866750601541759
663.625082,0.7864548219721171
663.744684,0.7840441080079922
663.864286,0.7830568345448001
663.983888,0.7808595334935485
664.10349,0.7802975169796572
664.223092,0.7782480307657129
664.342694,0.7764756465413796
664.462296,0.7752032701149034
664.581898,0.7733372796555849
664.7015,0.7713986370978626
664.821102,0.7700036683922321
664.940704,0.7683499389014218
665.060306,0.766431463148066
665.179908,0.7653515562982699
665.29951,0.7629826401908184
665.419112,0.7614581998589155
665.538714,0.7603929042600305
665.658316,0.7583577795617991
665.777918,0.7567971705151032
665.89752,0.7555721516320756
666.017122,0.75388156417726
666.136724,0.7523000740383312
666.256326,0.7506243140400727
666.375928,0.7490571474832425
666.49553,0.7478222222833586
666.615132,0.7464474945317452
666.734734,0.7443454778337162
666.854336,0.7433115563614205
666.973938,0.7422345356334273
667.09354,0.7406626651892732
667.213142,0.7390054376070831
667.332744,0.7376321650325428
667.452346,0.7366443998818527
667.571948,0.7352902204132404
667.69155,0.7348344817701624
667.811152,0.7337990952698867
667.930754,0.73152784033859
668.050356,0.7310817444290686
668.169958,0.7294021886464359
668.28956,0.7288772080862913
668.409162,0.726701120106846
668.528764,0.7264322904289637
668.648366,0.7252709281018963
668.767968,0.725720735503205
668.88757,0.7235251296972293
669.007172,0.7225779323270605
669.126774,0.7223539678843213
669.246376,0.7213433799059308
669.365978,0.7207088769538591
669.48558,0.7200317289189595
669.605182,0.7207449132986079
669.724784,0.7195206878324807
669.844386,0.7195566647662882
669.963988,0.7190100094563959
670.08359,0.7188518446530818
670.203192,0.7179610207906509
670.322794,0.7176954243513297
670.442396,0.7179323029241804
670.561998,0.7186865277409853
670.6816,0.7187368375587502
670.801202,0.7182985417816422
670.920804,0.7185499902721848
671.040406,0.7179753801546599
671.160008,0.7187583999873118
671.27961,0.7183344576066194
671.399212,0.7186362214447843
671.518814,0.7184422158569271
671.638416,0.7194055737318011
671.758018,0.7194343505302826
671.87762,0.7192688996572404
671.997222,0.7196718030434673
672.116824,0.7204350596092071
672.236426,0.720622397077521
672.356028,0.7215814625027677
672.47563,0.7211919137006587
672.595232,0.7221372941966342
672.714834,0.7236770859293116
672.834436,0.7234961892708538
672.954038,0.7233876729813883
673.07364,0.7238073595290511
673.193242,0.7255030519367217
673.312844,0.7249083832816035
673.432446,0.7255610945025484
673.552048,0.7265703256770786
673.67165,0.7275227565097053
673.791252,0.7275736848851334
673.910854,0.7284254442785296
674.030456,0.729270908068086
674.150058,0.7299275473286915
674.26966,0.7299275473286915
674.389262,0.7306651465764114
674.508864,0.7313303544834888
674.628466,0.7318058737409194
674.748068,0.7324940946753992
674.86767,0.732867761940737
674.987272,0.7339458697659011
675.106874,0.7329923600508063
675.226476,0.7347536544227533
675.346078,0.7346801827309568
675.46568,0.7354961305010231
675.585282,0.7361583749837898
675.704884,0.737086519144297
675.824486,0.7370496657396826
675.944088,0.7373224245732788
676.06369,0.7387320561738525
676.183292,0.738082257917586
