nu,[0]Methylisoamylketone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
633.063661,0.9933320302306461
633.182664,0.9912852951086455
633.301666,0.996952453227023
633.420668,0.99900039993333
633.539671,0.9985922917520966
633.658673,0.9979327397319384
633.777676,0.9981434255704037
633.896678,0.9969260343370643
634.01568,0.9992262395071579
634.134683,0.9974776863921494
634.253685,0.9958225499213217
634.372687,0.9999345611412155
634.49169,0.9978788528189526
634.610692,1.0
634.729695,0.9968178737301577
634.848697,0.999337999219271
634.967699,0.9979333384917619
635.086702,0.9981313481080231
635.205704,1.0
635.324706,0.9989017035694973
635.443709,0.995147611062603
635.562711,1.0
635.681714,1.0
635.800716,0.999694946538272
635.919718,0.9981757659413033
636.038721,0.9992706361152426
636.157723,0.9998154670283037
636.276726,0.9997357449215255
636.395728,0.9999899350506519
636.51473,0.9998423524276847
636.633733,0.995981595481994
636.752735,0.9962743574921763
636.871737,0.9996659658018496
636.99074,0.9969128750002628
637.109742,1.0
637.228745,0.9995457731922461
637.347747,0.9949912856525875
637.466749,0.9997821737275882
637.585752,0.9983606452124477
637.704754,0.9993762646038473
637.823756,0.9996220914254408
637.942759,0.996545879247752
638.061761,0.9990630691940187
638.180764,0.9980514009889645
638.299766,0.9990146158101668
638.418768,1.0
638.537771,0.9960045033221293
638.656773,0.9990754976159041
638.775776,0.9973761483320497
638.894778,0.9990453459723766
639.01378,0.9991057001247056
639.132783,0.9983485651217253
639.251785,0.9979162739775757
639.370787,0.9989790215535209
639.48979,0.9967809921511431
639.608792,0.9988332811462974
639.727795,0.9999689854809601
639.846797,0.9996611474235068
639.965799,0.9996100460518126
640.084802,1.0
640.203804,0.9985057175534474
640.322806,1.0
640.441809,1.0
640.560811,0.9987175230773223
640.679814,0.9975698575886157
640.798816,0.9983723261003298
640.917818,0.9998133474217604
641.036821,0.9955039376860233
641.155823,0.9996137046312764
641.274825,0.9999112459388747
641.393828,0.9998801071877177
641.51283,1.0
641.631833,0.999627489399309
641.750835,1.0
641.869837,0.9993098682505382
641.98884,0.9997746953848977
642.107842,0.9964389556114643
642.226845,0.9989254777129534
642.345847,1.0
642.464849,0.9987799448731755
642.583852,1.0
642.702854,0.9975080101747349
642.821856,0.9993050915607844
642.940859,1.0
643.059861,1.0
643.178864,0.9999236429153506
643.297866,0.999222932073779
643.416868,0.9975809306754905
643.535871,1.0
643.654873,0.996389433825997
643.773875,0.9997867227468277
643.892878,0.9967400252942403
644.01188,0.9985247891947863
644.130883,0.99540877205857
644.249885,0.997833450364063
644.368887,1.0
644.48789,0.9995128486967465
644.606892,0.9987707561399508
644.725895,0.9990223382229941
644.844897,0.999951972153374
644.963899,0.998552848135589
645.082902,0.9961203453819509
645.201904,0.996614643285752
645.320906,0.999795160982377
645.439909,0.9996762324240374
645.558911,1.0
645.677914,0.9992130398157183
645.796916,0.9996430637169175
645.915918,0.9947535111505014
646.034921,1.0
646.153923,1.0
646.272925,0.9964488204059555
646.391928,0.9999966726055358
646.51093,0.9995273817192214
646.629933,1.0
646.748935,0.9999916713346835
646.867937,0.9994848127545465
646.98694,0.9991835334903155
647.105942,0.9992260296696697
647.224944,0.9994164903080345
647.343947,0.9982860704576522
647.462949,0.9992023383013685
647.581952,0.9991648089663473
647.700954,1.0
647.819956,1.0
647.938959,1.0
648.057961,0.9980524988461094
648.176964,0.9980673699391316
648.295966,0.9991437467941703
648.414968,0.9987310058548924
648.533971,0.9965347179964075
648.652973,0.9985985829033518
648.771975,1.0
648.890978,0.9998755377460691
649.00998,0.9970806695566412
649.128983,1.0
649.247985,0.9988096090780494
649.366987,0.9993693489440244
649.48599,1.0
649.604992,0.9988926136053542
649.723994,0.998300046560471
649.842997,0.9966017870397766
649.961999,0.998000102465337
650.081002,0.9964575891941577
650.200004,0.9999167354666837
650.319006,0.9997022143469517
650.438009,1.0
650.557011,0.9984928369127714
650.676014,0.9984793573504602
650.795016,1.0
650.914018,0.9992897023808713
651.033021,0.9997340853615664
651.152023,1.0
651.271025,1.0
651.390028,0.9974657167317308
651.50903,0.9989074972161796
651.628033,0.9999874240790776
651.747035,0.9984793573504602
651.866037,0.9970522531624944
651.98504,0.999679281441196
652.104042,0.9988004200719154
652.223044,0.999498925579739
652.342047,0.9992385200731054
652.461049,1.0
652.580052,0.9970155623146938
652.699054,0.9965372093363166
652.818056,0.9988187981687227
652.937059,0.9992156377729992
653.056061,1.0
653.175064,0.9977289826707891
653.294066,0.9986009795428267
653.413068,0.9986821691027744
653.532071,0.9964545998258741
653.651073,0.999055076721435
653.770075,0.998113781150886
653.889078,0.9998334338736778
654.00808,0.9991455652374442
654.127083,0.9999354370842748
654.246085,0.9970335087563329
654.365087,0.9981192707917789
654.48409,0.9968481774541333
654.603092,1.0
654.722094,0.9996557792575586
654.841097,0.9999398838070508
654.960099,0.9997187595555104
655.079102,1.0
655.198104,0.9976352005542466
655.317106,0.9999753713032913
655.436109,0.9999443655476535
655.555111,0.9998311442577359
655.674113,0.996729459905969
655.793116,0.9997590890237108
655.912118,1.0
656.031121,0.9973693661973003
656.150123,0.9997946510869749
656.269125,0.9962748556294796
656.388128,1.0
656.50713,1.0
656.626133,1.0
656.745135,0.9994399169051259
656.864137,1.0
656.98314,1.0
657.102142,0.9986098671310943
657.221144,0.9986081694957631
657.340147,0.999581767483612
657.459149,0.99862175065922
657.578152,0.9980130765510005
657.697154,0.9995528400058437
657.816156,0.9989958045420597
657.935159,1.0
658.054161,0.9984573910462288
658.173163,1.0
658.292166,0.9975767408443803
658.411168,0.9994162404539431
658.530171,0.999743083008824
658.649173,0.998742491327501
658.768175,1.0
658.887178,0.9989622388469339
659.00618,0.9973222914741879
659.125183,1.0
659.244185,1.0
659.363187,1.0
659.48219,0.9999890740596885
659.601192,0.9986011792630426
659.720194,0.9998444021066081
659.839197,0.9975820280151177
659.958199,0.9989574438396955
660.077202,0.9999876930757308
660.196204,1.0
660.315206,1.0
660.434209,1.0
660.553211,1.0
660.672213,0.9994439346616676
660.791216,0.999804429126477
660.910218,0.999989559054507
661.029221,0.999364661912769
661.148223,0.9998288146538837
661.267225,0.9991714034758483
661.386228,0.9984292349448042
661.50523,1.0
661.624232,0.9957974555092546
661.743235,1.0
661.862237,0.9974059703247213
661.98124,0.999100924410873
