nu,[0]Acetone-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
610.738215,0.9994872814850829
610.856217,0.9988337805630629
610.974219,0.9993292150768643
611.092222,1.000369318181173
611.210224,0.999445303900796
611.328227,0.9999533360887942
611.446229,0.999780744040102
611.564231,1.0001772056990752
611.682234,0.9995918932982039
611.800236,0.9998301744219963
611.918238,1.000344299257388
612.036241,1.0002057611659254
612.154243,0.9998441821408638
612.272245,1.0000441429742724
612.390248,1.0001056955853849
612.50825,0.9990629692877168
612.626253,0.9995135683462567
612.744255,0.9997890122610442
612.862257,1.0002929629052524
612.98026,1.0001906981805868
613.098262,0.999461744911272
613.216264,0.9998054189333518
613.334267,0.9992929500776816
613.452269,0.9994078953631761
613.570271,0.9998482515149663
613.688274,0.9990405705470361
613.806276,0.9994421956307342
613.924278,1.0000408658349855
614.042281,1.000432783623821
614.160283,0.9990765666272584
614.278286,0.9999099400556403
614.396288,1.0003335356106366
614.51429,0.9994787758845088
614.632293,0.9990527189542361
614.750295,0.9990017685648154
614.868297,0.9997240780734584
614.9863,1.0000215892330442
615.104302,1.000202220443798
615.222304,0.9997140009055405
615.340307,0.9996837500175714
615.458309,0.9991453753998049
615.576312,1.0000413628554192
615.694314,1.0005916949824554
615.812316,0.9999758522915606
615.930319,0.9991857516802221
616.048321,1.0000892229801333
616.166323,0.9994347997858513
616.284326,0.9999987775007473
616.402328,0.9998863264613264
616.52033,0.9995609364166381
616.638333,1.0004835868904574
616.756335,0.999943932571837
616.874337,0.9998698784665412
616.99234,0.9998360434423458
617.110342,0.9995643849078174
617.228345,0.9999282755723198
617.346347,0.9994349796841313
617.464349,0.9993632827904871
617.582352,1.0007347197744425
617.700354,1.000397478973841
617.818356,0.999860029796743
617.936359,1.0002313767634752
618.054361,0.9991946944327184
618.172363,0.9995212746255763
618.290366,0.999834113760644
618.408368,0.9995280014263902
618.526371,0.9998107079180073
618.644373,0.9995144579137284
618.762375,0.9994531795608208
618.880378,1.00041676682317
618.99838,0.9998320341078503
619.116382,1.0004656483805636
619.234385,0.9995367973115046
619.352387,1.0000337465694027
619.470389,1.0000342785874974
619.588392,0.9993878774235123
619.706394,0.9987471854282415
619.824396,1.0001209873183754
619.942399,0.9998962153859957
620.060401,0.9992854054443895
620.178404,0.999726807323917
620.296406,1.0001260479433745
620.414408,1.0004837369630066
620.532411,0.999734795173019
620.650413,1.000394567821413
620.768415,0.9996861092740053
620.886418,0.9998857365285678
621.00442,0.9998101980146763
621.122422,0.9998741479200375
621.240425,1.000382112986575
621.358427,0.9996605076405771
621.47643,1.0001568823047418
621.594432,1.0000122460749825
621.712434,0.9999656495899888
621.830437,0.9999446555315616
621.948439,0.9994117231027455
622.066441,1.0000554785388773
622.184444,1.0001676740557233
622.302446,0.9996976357212951
622.420448,1.0001373094260764
622.538451,0.9995127787308495
622.656453,0.9996347867066168
622.774455,0.9997774147757675
622.892458,0.9999423876596546
623.01046,0.9997316160214251
623.128463,0.9998924657822186
623.246465,0.9999265147001769
623.364467,0.9995572780303057
623.48247,0.9999996972000459
623.600472,0.9995381866686185
623.718474,1.0000325815307665
623.836477,1.000497693808486
623.954479,1.0001653036611446
624.072481,0.999837223249573
624.190484,1.00031434939742
624.308486,0.9996489816213716
624.426489,0.9996615073015845
624.544491,0.9994105737799248
624.662493,1.0001406998973021
624.780496,1.000290862292236
624.898498,0.9992702463997706
625.0165,0.9999832781398119
625.134503,1.0006994344903064
625.252505,0.9999584708623586
625.370507,1.0006898678494414
625.48851,0.999554639202575
625.606512,1.000264875073209
625.724514,1.0003510215936662
625.842517,1.0001591726666248
625.960519,1.000208261683454
626.078522,0.9997148206713573
626.196524,0.9996032687186756
626.314526,0.9997547200860378
626.432529,0.9998629893868115
626.550531,0.9999879240729146
626.668533,0.9995422747881622
