nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
676.111522,0.8441627257069196
676.229525,0.8413731663524519
676.347527,0.8381987791551844
676.465529,0.8349862678125393
676.583532,0.8320606035569915
676.701534,0.8281756577962254
676.819536,0.8249685620331639
676.937539,0.8217656679946349
677.055541,0.8183296732815487
677.173543,0.8154949903345188
677.291546,0.812393865814906
677.409548,0.8087705693354035
677.527551,0.8061060253722091
677.645553,0.8026231321877914
677.763555,0.7990833665883506
677.881558,0.7957740422146529
677.99956,0.7920109987131976
678.117562,0.7878323228723063
678.235565,0.7844283837607868
678.353567,0.7805394467070913
678.471569,0.7766930901630976
678.589572,0.7722630875733146
678.707574,0.7686035362225159
678.825577,0.7651602423244385
678.943579,0.7620066471801566
679.061581,0.7586004928833191
679.179584,0.754877344912672
679.297586,0.750294111991673
679.415588,0.7466415961124355
679.533591,0.7419451206041293
679.651593,0.7387172816804745
679.769595,0.7350549651855521
679.887598,0.7308551442131438
680.0056,0.7265485288942616
680.123602,0.7226791003191805
680.241605,0.7184781388657877
680.359607,0.715037707440279
680.47761,0.7123470902833585
680.595612,0.7087162812697078
680.713614,0.7054354551275036
680.831617,0.701853911422214
680.949619,0.6972508732884191
681.067621,0.6927957889900518
681.185624,0.6903407242573666
681.303626,0.6871243491564102
681.421628,0.6847099233298091
681.539631,0.6826588716755895
681.657633,0.6793016457997633
681.775636,0.6761569874126448
681.893638,0.6738686960705798
682.01164,0.6701457854785241
682.129643,0.6667300750873892
682.247645,0.6613910568970042
682.365647,0.6548559442358024
682.48365,0.6523917851844152
682.601652,0.6522091410559347
682.719654,0.6518505246569039
682.837657,0.6495860273417564
682.955659,0.647342343498576
683.073661,0.6431675585288618
683.191664,0.637870496361974
683.309666,0.6321048479119956
683.427669,0.627482184257978
683.545671,0.6243026575973406
683.663673,0.6200159967910251
683.781676,0.6153340425592192
683.899678,0.6017037887699119
684.01768,0.6000213746403148
684.135683,0.6095526204433945
684.253685,0.6139265398074997
684.371687,0.6138467345447791
684.48969,0.6123997643476731
684.607692,0.611347342095589
684.725695,0.6101258692913597
684.843697,0.6099794566529492
684.961699,0.6084929210896229
685.079702,0.6080245618818199
685.197704,0.606148665737751
685.315706,0.6048347492480831
685.433709,0.6030169338375049
685.551711,0.6021492143607441
685.669713,0.600201408056369
685.787716,0.5989183504044734
685.905718,0.5967959597329314
686.02372,0.595270115989321
686.141723,0.5939916600725264
686.259725,0.5929056493374946
686.377728,0.5917742803485899
686.49573,0.5903675322556229
686.613732,0.5878755518484713
686.731735,0.586519126598034
686.849737,0.5859094637859852
686.967739,0.5842478415292691
687.085742,0.5823346479617453
687.203744,0.58012597543506
687.321746,0.5793780954130753
687.439749,0.5781915869042251
687.557751,0.5778043282871227
687.675754,0.577030589008312
687.793756,0.5759755886501786
687.911758,0.5748592791784967
688.029761,0.5738713710628414
688.147763,0.5735214162735554
688.265765,0.5726961397758076
688.383768,0.5716662139355473
688.50177,0.5704612698871586
688.619772,0.5701989180485595
688.737775,0.5690084467856492
688.855777,0.5681953462122149
688.973779,0.5673266720377103
689.091782,0.5666859549716277
689.209784,0.5661931525909214
689.327787,0.5654575797185135
689.445789,0.5646269677257144
689.563791,0.5645366346377181
689.681794,0.5629525134270519
689.799796,0.5626429746756265
689.917798,0.5620187874617287
690.035801,0.5610809993576843
690.153803,0.5593667156913147
690.271805,0.5572395832649413
690.389808,0.5559093708979088
690.50781,0.5567104570355933
