nu,[0]Ethylenediamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
698.193242,0.8925792265717803
698.312844,0.8910007586969161
698.432446,0.8920884429750269
698.552048,0.8925256734247965
698.67165,0.8914909439027742
698.791252,0.8919457202422739
698.910854,0.8905019379548894
699.030456,0.8905553696741022
699.150058,0.890590992601343
699.26966,0.8902882431341844
699.389262,0.8914731142621931
699.508864,0.8910007586969161
699.628466,0.8905998985557987
699.748068,0.8897720256707023
699.86767,0.8898521087566975
699.987272,0.8893361441778107
700.106874,0.8900924012640905
700.226476,0.8910363994400741
700.346078,0.8902259251383203
700.46568,0.8900924012640905
700.585282,0.8868228808347906
700.704884,0.88871382671341
700.824486,0.889914400584499
700.944088,0.8888738096002463
701.06369,0.8913483167622253
701.183292,0.8878344353954905
701.302894,0.8877190244207649
701.422496,0.8881985221466864
701.542098,0.8870623553402194
701.6617,0.8848917126926525
701.781302,0.8852900035720909
701.900904,0.8836183856418826
702.020506,0.8825498539872767
702.140108,0.8856264776994837
702.25971,0.8809274553204463
702.379312,0.884865166339469
702.498914,0.8834505140969123
702.618516,0.8797390056397939
702.738118,0.8798973729134361
702.85772,0.8833533398850414
702.977322,0.8815002443026568
703.096924,0.8849536572805763
703.216526,0.8792816602769611
703.336128,0.8807865182028651
703.45573,0.880346235023731
703.575332,0.8787806125427733
703.694934,0.8780164058879583
703.814536,0.8774283319227906
703.934138,0.8767968108986566
704.05374,0.8756314462794176
704.173342,0.8749574695801117
704.292944,0.8770423483793512
704.412546,0.8749049737068288
704.532148,0.8744239082764104
704.65175,0.8755526429954534
704.771352,0.8708722355265287
704.890954,0.8719266287107474
705.010556,0.8699843987200384
705.130158,0.8701671146282685
705.24976,0.8714646300379937
705.369362,0.8681072604579574
705.488964,0.8695408197989306
705.608566,0.8695582107892359
705.728168,0.8667020652114814
705.84777,0.862681256234113
705.967372,0.8641144963796626
706.086974,0.8609145711297728
706.206576,0.8588079121415336
706.326178,0.8592803864117255
706.44578,0.8582327035567924
706.565382,0.8574692162528735
706.684984,0.8578723215068266
706.804586,0.8573834736184515
706.924188,0.860251922062634
707.04379,0.8574434925622433
707.163392,0.8575635430545403
707.282994,0.8574949407152261
707.402596,0.8531243180196657
707.522198,0.8559870769289292
707.6418,0.8550289080774861
707.761402,0.85352538069148
707.881004,0.8545587714774598
708.000606,0.853747326142118
708.120208,0.8522119631962615
708.23981,0.8521267462608596
708.359412,0.8539010144923602
708.479014,0.8514027462701248
708.598616,0.8507389110574235
708.718218,0.8505602746435814
708.83782,0.8515815596215863
708.957422,0.8485044073816624
709.077024,0.8523312812231759
709.196626,0.8471563573576951
709.316228,0.8435551472988849
709.43583,0.8462673100140062
709.555432,0.8457174149977383
709.675034,0.846732885055914
709.794636,0.8433274181539323
709.914238,0.8433021187108812
710.03384,0.8443484619368113
710.153442,0.8438926368512151
710.273044,0.8424760874559695
710.392646,0.8422991860529011
710.512248,0.8403473169848557
710.63185,0.8416676985007945
710.751452,0.8392723605380084
710.871054,0.8389786666112553
710.990656,0.840187666161937
