nu,[0]1-Nonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
586.295726,1.0
586.414728,0.9992903719051962
586.533731,1.0
586.652733,1.0
586.771735,0.9986375290075291
586.890738,0.9991524193995316
587.00974,1.0
587.128743,1.0
587.247745,1.0
587.366747,1.0
587.48575,0.9976622368345216
587.604752,1.0
587.723754,1.0
587.842757,0.998896309514862
587.961759,0.9967690308510052
588.080762,0.9996865991203189
588.199764,0.9975890111137548
588.318766,1.0
588.437769,0.9980049926778201
588.556771,1.0
588.675774,0.9981281540928195
588.794776,0.999516536905963
588.913778,1.0
589.032781,1.0
589.151783,1.0
589.270785,1.0
589.389788,0.9997426931090977
589.50879,1.0
589.627793,1.0
589.746795,0.999967099541232
589.865797,0.9951567664627395
589.9848,0.9966891928491888
590.103802,1.0
590.222804,0.9992350027597052
590.341807,0.9998368233147638
590.460809,0.997500828142917
590.579812,0.9998736879780352
590.698814,0.9999659745788778
590.817816,0.9984078687877951
590.936819,0.997085056721239
591.055821,0.9967947478237488
591.174823,1.0
591.293826,0.9998838267486349
591.412828,0.9953189902365513
591.531831,0.9935427382990587
591.650833,0.9994934183558314
591.769835,1.0
591.888838,1.0
592.00784,0.9995623058160591
592.126843,0.9998091982049783
592.245845,0.9994745880772113
592.364847,0.9999779812424164
592.48385,0.9978284612092841
592.602852,1.0
592.721854,1.0
592.840857,0.9996975457485119
592.959859,0.9931403356479338
593.078862,1.0
593.197864,0.9984391194431583
593.316866,1.0
593.435869,1.0
593.554871,0.9991220056627844
593.673873,0.997467212931428
593.792876,1.0
593.911878,1.0
594.030881,1.0
594.149883,1.0
594.268885,1.0
594.387888,0.9994772866622422
594.50689,1.0
594.625893,1.0
594.744895,1.0
594.863897,1.0
594.9829,1.0
595.101902,0.995063922667659
595.220904,0.9995405255907118
595.339907,1.0
595.458909,1.0
595.577912,1.0
595.696914,1.0
595.815916,1.0
595.934919,0.9989619391583072
596.053921,0.9962403851158181
596.172923,0.9976277183183009
596.291926,0.9989238794334677
596.410928,0.9999424376567753
596.529931,1.0
596.648933,1.0
596.767935,0.9995580576852867
596.886938,1.0
597.00594,1.0
597.124942,1.0
597.243945,0.9992020984928361
597.362947,1.0
597.48195,0.9996259599704203
597.600952,1.0
597.719954,0.999132106837323
597.838957,0.994902834858989
597.957959,1.0
598.076962,1.0
598.195964,1.0
598.314966,0.9999307983945416
598.433969,1.0
598.552971,0.9999818811641481
598.671973,0.9999458624654892
598.790976,0.9889188532676686
598.909978,1.0
599.028981,1.0
599.147983,0.9989525489602131
599.266985,1.0
599.385988,0.9932320067314695
599.50499,0.9999317953260446
599.623992,0.9995947421391593
599.742995,1.0
599.861997,0.9984972302909192
599.981,0.9973064341758194
600.100002,0.9969971176974042
600.219004,0.9992498115321788
600.338007,1.0
600.457009,1.0
600.576012,1.0
600.695014,0.9996889683803664
600.814016,0.9985279844792242
600.933019,0.9975010276431026
601.052021,0.9995630854749618
601.171023,0.9978038151506723
601.290026,0.9975225738979984
601.409028,0.9971233455225574
601.528031,1.0
601.647033,0.9976791972367107
601.766035,0.9990331277225101
601.885038,1.0
602.00404,0.9992241211497757
602.123042,1.0
602.242045,1.0
602.361047,0.9981147792651662
602.48005,1.0
602.599052,0.9989334691487408
602.718054,0.9998589299513152
602.837057,0.9975981889748751
602.956059,0.9998067386773759
603.075062,0.9962609078791352
603.194064,0.9929991211327946
603.313066,0.9999921863305269
603.432069,0.9995610663595683
603.551071,0.9994061364068282
603.670073,0.9975152920097878
603.789076,0.9993210405973186
603.908078,0.9998617295602386
604.027081,0.9991454653228927
604.146083,0.9958401761364468
604.265085,0.997227251188552
604.384088,0.9992629517535974
604.50309,0.9966873988102563
604.622092,0.9994496315083311
604.741095,0.9949213402238167
604.860097,0.9989221812643161
604.9791,0.9909471262608406
605.098102,0.9955979176935275
605.217104,0.9996147642223648
605.336107,0.9973900119568635
605.455109,0.9985344749322173
605.574111,0.9976967565451036
605.693114,0.9984861470331752
605.812116,0.9936847257011199
605.931119,0.9971237443719754
606.050121,0.9949106946224304
606.169123,0.9961850953087505
606.288126,0.9934958441885207
606.407128,0.998655005317204
606.526131,0.9952514103714767
606.645133,0.9971498693563137
606.764135,0.9961907735799769
606.883138,0.998389398413074
607.00214,0.9973126174948795
607.121142,0.9991052805003996
607.240145,0.9935056798460646
607.359147,0.9995769195237961
607.47815,0.996801725411405
607.597152,0.9930683355836332
607.716154,0.9962559265870491
607.835157,0.9925047306839099
607.954159,0.9960442446946469
608.073161,0.9927937901465002
608.192164,0.9977846575013355
608.311166,0.9912911437091401
608.430169,0.9905430013549167
608.549171,0.9930505598195198
608.668173,0.9980327376022692
608.787176,0.9938884519511157
