nu,[0]Bromochloromethane-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
575.545511,0.9935321074486341
575.676514,0.9927200283081785
575.807516,0.9917373251070943
575.938519,0.9929643667717598
576.069521,0.9913085905868014
576.200524,0.9922932504598193
576.331527,0.9933315335647551
576.462529,0.9922127787403793
576.593532,0.9922506819924747
576.724534,0.9910912204483925
576.855537,0.9917159038122229
576.98654,0.9914879345320093
577.117542,0.9911536611621427
577.248545,0.9916168363419345
577.379548,0.9904937725910943
577.51055,0.9903636302599141
577.641553,0.9920971926846746
577.772555,0.9907995852184436
577.903558,0.9909686300467957
578.034561,0.9905559775532283
578.165563,0.9902824237717444
578.296566,0.9899795427063334
578.427569,0.988984124065897
578.558571,0.989400574038697
578.689574,0.9903837348456693
578.820576,0.9905696473200397
578.951579,0.9898132401129678
579.082582,0.9885935524798574
579.213584,0.98897027838508
579.344587,0.9889890689988796
579.47559,0.988834798737509
579.606592,0.9889653335460502
579.737595,0.9888901750367602
579.868597,0.9899656830897531
579.9996,0.9876607605133949
580.130603,0.9879116582092238
580.261605,0.9867643715650181
580.392608,0.9878217623386509
580.52361,0.986606501895478
580.654613,0.9875580491353858
580.785616,0.9868531843549745
580.916618,0.9869765487131307
581.047621,0.986271112704227
581.178624,0.9866499135366105
581.309626,0.9864713460631043
581.440629,0.9866726067455928
581.571631,0.9869854315420418
581.702634,0.9845023440017514
581.833637,0.9853838680227889
581.964639,0.9846746469880233
582.095642,0.983349183138844
582.226645,0.9850006282430978
582.357647,0.9832960837166518
582.48865,0.9840790989980279
582.619652,0.9838616415470828
582.750655,0.9831987422228473
582.881658,0.9836501340320228
583.01266,0.9843536953710612
583.143663,0.9827387128667527
583.274665,0.9830601209732216
583.405668,0.9818536640608205
583.536671,0.9815257796967611
583.667673,0.982637495992086
583.798676,0.9821895154412418
583.929679,0.981275522532083
584.060681,0.9813913198756508
584.191684,0.9794912252840958
584.322686,0.9798586033726637
584.453689,0.9798007934204751
584.584692,0.9798537040918951
584.715694,0.9788645514569291
584.846697,0.9796626512478548
584.9777,0.9799585540476055
585.108702,0.9784525362160594
585.239705,0.9781414377768162
585.370707,0.9785543005714807
585.50171,0.9765444597538554
585.632713,0.9776172944491284
585.763715,0.9779360496413921
585.894718,0.9789301375789873
586.025721,0.9759938439668019
586.156723,0.9758777076096201
586.287726,0.9751919066684455
586.418728,0.9753606294624
586.549731,0.9740584177325665
586.680734,0.9745757800999346
586.811736,0.9749140165762641
586.942739,0.9736815300573729
587.073741,0.9728591166830605
587.204744,0.9720704477878944
587.335747,0.9711930643717732
587.466749,0.9702388506623711
587.597752,0.9733427478364384
587.728755,0.9702844529599979
587.859757,0.970505703036823
587.99076,0.970405746097281
588.121762,0.9691188717022122
588.252765,0.9692962366841347
588.383768,0.9708823323109556
588.51477,0.9687148333805573
588.645773,0.9679169411346029
588.776776,0.9688281796466901
588.907778,0.9675269491959795
589.038781,0.9661202211277421
589.169783,0.9655861043423611
589.300786,0.9648371001765937
589.431789,0.9639884170038028
589.562791,0.9644705317309424
589.693794,0.9627485619289976
589.824796,0.9618247668021541
589.955799,0.9610229393551629
590.086802,0.9607327542476344
590.217804,0.9608615010625475
590.348807,0.9596947632754927
590.47981,0.9604666681293366
590.610812,0.9577159960743219
590.741815,0.9579027689033154
590.872817,0.9568008570882084
591.00382,0.9565607302102631
591.134823,0.9549378682900564
591.265825,0.955914313670048
591.396828,0.9538469978578169
591.527831,0.9530403845431701
591.658833,0.9517555998465369
591.789836,0.950754879426731
591.920838,0.9516756557338496
592.051841,0.9502121533536181
592.182844,0.949390575224735
592.313846,0.947771347916516
592.444849,0.9461132523726064
592.575852,0.9458464860512564
592.706854,0.9450778253610058
592.837857,0.9433546312226493
592.968859,0.9424598123363368
593.099862,0.9420273225464743
593.230865,0.9397701076115601
593.361867,0.9395286177266833
593.49287,0.9371658606268233
593.623872,0.936259123005548
593.754875,0.9348670054228597
593.885878,0.9326138908147918
594.01688,0.9310456217051817
