nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
888.51177,0.9992499814046613
888.528171,0.9985107100945165
888.544571,0.9979134798159204
888.560971,0.9984446108734166
888.577372,0.9989004049981267
888.593772,0.9983218097387039
888.610172,0.9996987353892992
888.626573,0.999372087219792
888.642973,0.9986626949903501
888.659373,0.9993606344812968
888.675774,0.9990505010596619
888.692174,0.9994978960963757
888.708574,0.9988353786983903
888.724974,0.9978279622951782
888.741375,0.9979108852442458
888.757775,0.9972540769624141
888.774175,0.9975450184084109
888.790576,0.998192635254293
888.806976,0.9985947882359466
888.823376,0.9994462433798232
888.839777,0.9993181925364114
888.856177,0.9992199044328817
888.872577,0.9986237479047186
888.888978,0.9989082963424969
888.905378,0.9992986060917854
888.921778,0.9987165243602986
888.938179,0.9995575778975341
888.954579,0.9996517006702995
888.970979,0.9998524108923441
888.98738,0.9998152970596887
889.00378,0.9998109578707156
889.02018,0.9998537906896232
889.036581,0.999500454814265
889.052981,0.999549911320313
889.069381,0.9995801481624604
889.085782,0.9994661425526246
889.102182,0.9998801571817243
889.118582,0.9996178830252945
889.134983,0.9998449020289341
889.151383,0.9999049655160627
889.167783,0.9995914534778676
889.184184,0.9992311557123502
889.200584,0.9991005347615884
889.216984,0.9990439073481142
889.233385,0.9995312598929862
889.249785,0.9995607365044709
889.266185,0.999777294802485
889.282586,0.9986610971313165
889.298986,0.9992194947528049
889.315386,0.9990523393142751
889.331787,0.9986173567331837
889.348187,0.9992338536401129
889.364587,0.9992996653488694
889.380988,0.9990398812092802
889.397388,0.9989986017342285
889.413788,0.999489720237025
889.430189,0.9995591072217982
889.446589,0.9993159041003707
889.462989,0.9994830536628241
889.47939,0.9991981116844169
889.49579,0.9999143866650307
889.51219,0.9999150116117177
889.528591,0.9999984812011534
889.544991,0.9992357821633114
889.561391,0.9996243905588951
889.577792,0.9998822669310817
889.594192,0.9994695907167644
889.610592,0.9991830239068434
889.626993,0.9990255251093361
889.643393,0.9983772181367132
889.659793,0.9986399257404748
889.676194,0.9994076255230808
889.692594,0.9999272956430899
889.708994,0.9993952529332634
889.725395,0.9989475542099553
889.741795,0.9994764171173811
889.758195,0.999601829291005
889.774595,0.9995529799432511
889.790996,0.9992886431343482
889.807396,0.9990890451715039
889.823796,0.999863919259824
