nu,[0]Myrcene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600.970819,0.9952791782731865
601.090422,0.9958451553497755
601.210024,1.0020411803781977
601.329627,0.9994841630896294
601.449229,1.0038191745311298
601.568831,0.9986609972652117
601.688434,0.9996886284861749
601.808036,0.9968613359369216
601.927639,0.9939912253303397
602.047241,1.0018138430267678
602.166843,0.9978065092246102
602.286446,1.0034183292069618
602.406048,1.0007951059292657
602.525651,0.996170750346662
602.645253,0.9957104266148611
602.764855,0.9962214567283212
602.884458,0.999069293376328
603.00406,1.0010340342451567
603.123662,1.003391939651928
603.243265,1.002527087716867
603.362867,0.9979923180948969
603.48247,0.9977395586540581
603.602072,0.9973102239474698
603.721674,0.9993091187684181
603.841277,1.003157975932831
603.960879,1.0012526839539149
604.080482,1.0027048515278154
604.200084,0.9979836355994983
604.319686,0.9969537492660545
604.439289,0.9957401988017088
604.558891,0.9977697906206973
604.678494,0.9989407613896822
604.798096,1.0043581693172758
604.917698,0.999883376801014
605.037301,0.9983525585239726
605.156903,0.99558477588775
605.276506,0.9981880435787317
605.396108,0.9967135123621911
605.51571,0.9984205486482456
605.635313,1.0034880692042787
605.754915,1.0024376662888976
605.874517,1.0000329445426595
605.99412,0.9981030015802594
606.113722,0.9950001411144366
606.233325,0.9947968833490946
606.352927,0.998112483603814
606.472529,1.0036136134143627
606.592132,1.0028324036970757
606.711734,1.0023874454198598
606.831337,0.998980719819301
606.950939,0.9963471878096246
607.070541,0.9952012509644216
607.190144,0.9983336898389262
607.309746,1.000275407917799
607.429349,1.0021898943236678
607.548951,0.9997648276573516
607.668553,0.9995729012326564
607.788156,0.9969178595770992
607.907758,0.996196252644299
608.027361,0.998721218338994
608.146963,1.0029112294218168
608.266565,1.001581349015775
608.386168,1.0014819970738904
608.50577,0.9999700434487064
608.625373,0.9953116249032754
608.744975,0.9960536075545525
608.864577,0.9957121193240251
608.98418,1.001904010330108
609.103782,1.0029177483659946
609.223384,1.0018641353440143
609.342987,0.9987211184668771
609.462589,0.997192348845555
609.582192,0.9976211339970882
609.701794,0.9967376331210502
609.821396,1.000046828096401
609.940999,1.0046295835610384
610.060601,1.0017967121565214
610.180204,0.9996369759091969
610.299806,0.9998887261913896
610.419408,0.9941026579923832
610.539011,0.9977688926282897
610.658613,0.9997257776058358
610.778216,1.0017985153922262
610.897818,1.0007636314181234
611.01742,0.9975459161993314
611.137023,0.9970211456174759
611.256625,0.9969288257338683
611.376228,0.9961124760623062
611.49583,0.998039923463849
611.615432,1.0030880582585677
611.735035,1.0012011207684546
611.854637,0.9996708941672094
611.974239,0.9986742795448023
612.093842,0.9945498064914868
612.213444,0.9962658891961279
612.333047,0.9991735716801463
612.452649,1.0028147540020884
612.572251,1.0025851357157192
612.691854,0.9998392929147673
612.811456,0.9969990119937274
612.931059,0.9964713404037717
